NAME,MSINI,A,PER,TT,K,B,DEPTH,I,R,DENSITY,TRANSITREF,TRANSITURL,ORBREF,ORBURL
,mjupiter,au,day,,m/s,,,deg,rjupiter,g/cm^3,,,,
Kepler-107 d,,0.0780099,7.958203,2454970.79968,,0.27,,,0.095459,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
Kepler-1049 b,,0.0344721,3.27346074,2454967.447,,,0.00030695,,0.085,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
Kepler-813 b,,0.13761,19.12947337,2454972.435,,,0.000460103,,0.191,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
Kepler-427 b,0.310432,0.091351,10.290994,2454970.02207,29.8,0.09,0.008336,89.5,1.23,0.16,Hebrard 2014,http://adsabs.harvard.edu/abs/2014A%26A...572A..93H,Hebrard 2014,http://adsabs.harvard.edu/abs/2014A%26A...572A..93H
Kepler-1056 b,,0.185149,27.495606,2454966.284,,,0.000545222,,0.269,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
Kepler-1165 b,,0.0912977,9.478522,2454973.167,,,0.00014641,,0.138,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
Kepler-1104 b,,0.0627651,5.03728015,2454967.109,,,0.0000670761,,0.11,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
WASP-14 b,7.65457,0.0367693,2.243752,2454463.57583,993,0.535,0.0102,84.32,1.281,4.65633,Joshi 2009,http://adsabs.harvard.edu/abs/2009MNRAS.392.1532J,Joshi 2009,http://adsabs.harvard.edu/abs/2009MNRAS.392.1532J
Kepler-50 b,,0.0825598,7.8125124,2455005.63186,,0.8955,,,0.196096,,Steffen 2013,http://adsabs.harvard.edu/abs/2013MNRAS.428.1077S,Steffen 2013,http://adsabs.harvard.edu/abs/2013MNRAS.428.1077S
WASP-105 b,1.75919,0.0745473,7.87288,2456600.0765,194,0.1,0.012,89.7,0.981089,2.47023,Anderson 2017,http://adsabs.harvard.edu/abs/2017A%26A...604A.110A,Anderson 2017,http://adsabs.harvard.edu/abs/2017A%26A...604A.110A
Kepler-1279 b,,0.170989,23.4774101,2454978.351,,,0.00013924,,0.156,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
Kepler-1599 b,,0.48075,122.363553,2454967.333,,,0.000214916,,0.145,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
Kepler-20 b,0.0266149,0.0453704,3.6961219,2454967.50027,3.72,0.633,0.000344102,86.5,0.170247,6.5,Gautier 2012,http://adsabs.harvard.edu/abs/2012ApJ...749...15G,Gautier 2012,http://adsabs.harvard.edu/abs/2012ApJ...749...15G
HAT-P-27 b,0.615135,0.0399488,3.039577,2455407.9088,91.2,0.87,0.0143,85,1.02,0.771559,Brown 2012,http://adsabs.harvard.edu/abs/2012ApJ...760..139B,Brown 2012,http://adsabs.harvard.edu/abs/2012ApJ...760..139B
Kepler-181 b,,0.0419466,3.137873,2454966.5556199998,,0.16,,,0.113302,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
Kepler-207 b,,0.0269045,1.611865,2454966.57041,,0.38,,,0.140066,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
Kepler-1156 b,,0.101981,11.89520511,2454965.89,,,0.000145926,,0.118,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
Kepler-1512 b,,0.13139,20.35972599,2454967.291,,,0.000263738,,0.105,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
Kepler-787 b,,0.0161327,0.9283105,2454966.803,,,0.00034745,,0.114,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
Kepler-528 b,,0.143629,19.78297415,2455010.723,,,0.000320052,,0.186,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
Kepler-480 b,,0.0609811,4.9195838,2454967.603,,,0.000364428,,0.248,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
Kepler-1567 b,,0.5527,153.979578,2454998.49,,,0.000733868,,0.244,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
HD 3167 b,0.0157857,0.0181491,0.959641,2457394.37454,3.58,0.47,0.0003042,83.4,,5.6,Christiansen 2017,http://adsabs.harvard.edu/abs/2017AJ....154..122C,Christiansen 2017,http://adsabs.harvard.edu/abs/2017AJ....154..122C
Kepler-1390 b,,0.0675681,6.48021673,2454965.86,,,0.000113849,,0.105,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
Kepler-1642 b,,0.0994208,12.2057513,2454967.13,,,0.00124397,,0.285,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
Kepler-11 c,,0.106909,13.0241,2455583.3494,,0.156,0.0007508,89.59,0.255816,0.66,Lissauer 2013,http://adsabs.harvard.edu/abs/2013ApJ...770..131L,Lissauer 2013,http://adsabs.harvard.edu/abs/2013ApJ...770..131L
Kepler-871 b,,0.159318,22.0459018,2454969.478,,,0.000915668,,0.334,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
Kepler-1131 b,,0.0458416,3.53232449,2454967.745,,,0.000197403,,0.142,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
Kepler-705 b,,0.231978,56.0560538,2455034.166,,,0.00146306,,0.188,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
