index,Planet,Impact Parameter
22,CoRoT-21b,0.257348357
25,CoRoT-24b,0.854807382
26,CoRoT-24c,0.427647909
32,CoRoT-30b,0.0
33,CoRoT-31b,0.87
34,CoRoT-32b,0.337279531
36,EPIC_201170410b,0.46
37,EPIC_201295312b,0.43
41,EPIC_211442297b,0.702
44,EPIC_211945201b,0.58
47,EPIC_212737443b,0.479
48,EPIC_212737443c,0.567
51,EPIC_246193072b,0.364
56,EPIC_246851721b,0.647
73,GJ_357b,0.529
74,GJ_367b,0.55
76,GJ_486b,0.317409238
77,GJ_1132b,0.38
79,GJ_1252b,0.44
81,GJ_3473b,0.335787471
82,GJ_3929b,0.108
83,GJ_9827b,0.57
84,GJ_9827c,0.53
85,GJ_9827d,0.91
126,HAT-P-42b,0.578546697
127,HAT-P-43b,0.195758901
131,HAT-P-47b,0.794
132,HAT-P-48b,0.281
138,HAT-P-54b,0.740926264
139,HAT-P-55b,0.153
142,HAT-P-58b,0.534
143,HAT-P-59b,0.8299
144,HAT-P-60b,0.668
145,HAT-P-61b,0.767
146,HAT-P-62b,0.25
147,HAT-P-63b,0.262
148,HAT-P-64b,0.232
149,HAT-P-65b,0.464
150,HAT-P-66b,0.11
151,HAT-P-67b,0.12
152,HAT-P-68b,0.212
153,HAT-P-69b,0.366
154,HAT-P-70b,-0.629
161,HATS-7b,0.384195285
162,HATS-8b,0.36
165,HATS-11b,0.14
166,HATS-12b,0.43
169,HATS-15b,0.31669398
170,HATS-16b,0.732785508
171,HATS-17b,0.187
172,HATS-18b,0.29
173,HATS-19b,0.32
174,HATS-20b,0.551
175,HATS-21b,0.853
176,HATS-22b,0.536
177,HATS-23b,0.949
178,HATS-24b,0.276
179,HATS-25b,0.538
180,HATS-26b,0.33
181,HATS-27b,0.36
182,HATS-28b,0.643
183,HATS-29b,0.502
184,HATS-30b,0.487
185,HATS-31b,0.48
186,HATS-32b,0.4
187,HATS-33b,0.33
188,HATS-34b,0.937
189,HATS-35b,0.26
190,HATS-36b,0.17
191,HATS-37b,0.14
192,HATS-38b,0.227
193,HATS-39b,0.696
194,HATS-40b,0.35
195,HATS-41b,0.849
196,HATS-42b,0.46
197,HATS-43b,0.173661707
198,HATS-44b,0.863761282
199,HATS-45b,0.689802784
200,HATS-46b,0.632615399
201,HATS-47b,0.7127
202,HATS-48b,0.083
203,HATS-49b,0.42
204,HATS-50b,0.421
205,HATS-51b,0.3
206,HATS-52b,0.231
207,HATS-53b,0.198
