Telescope,Lat,Long,Alt,C_y,Aperture,Element?,mzp_U,mzp_u,mzp_B,mzp_g,mzp_V,mzp_r,mzp_R,mzp_i,mzp_I,mzp_z,mzp_J,mzp_H,mzp_K,mzp_HK,mzp_T,mzp_vr,mzp_RISE,mzp_SPRAT_Red,mzp_SPRAT_Blue,mzp_600RI+19,mzp_G750M,mzp_GR01,mzp_Band1,mzp_Band2,mzp_Band3,m_5Sig,msky_U,msky_u,msky_B,msky_g,msky_V,msky_r,msky_R,msky_i,msky_I,msky_z,msky_J,msky_H,msky_K,msky_HK,msky_T,msky_vr,msky_RISE,msky_SPRAT_Red,msky_SPRAT_Blue,msky_600RI+19,msky_G750M,msky_GR01,Res,Lambda_Cent,Lambda_Range,Dispersion,Overhead,Theta_see,Theta_DF,FoV_Radius,Omega_pix,Gain,Half_Well,texp_min
PROMPT-8_Dark,-30.16966,289.1935,2286,1.42,0.61,N,NaN,NaN,,NaN,21.3,NaN,21.52,NaN,20.43,NaN,NaN,NaN,NaN,NaN,20.43,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.1,NaN,22.8,NaN,21.8,NaN,21.2,NaN,19.8,NaN,NaN,NaN,NaN,NaN,19.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,200,NaN,8,1.8,NaN,12.56,0.542,1.9,62225,0.03
PROMPT-8_Grey,-30.16966,289.1935,2286,1.42,0.61,N,NaN,NaN,,NaN,21.3,NaN,21.52,NaN,20.43,NaN,NaN,NaN,NaN,NaN,20.43,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17,NaN,19.5,NaN,20,NaN,19.9,NaN,19.2,NaN,NaN,NaN,NaN,NaN,19.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,200,NaN,8,2.2,NaN,12.56,0.542,1.9,62225,0.03
PROMPT-8_Bright,-30.16966,289.1935,2286,1.42,0.61,N,NaN,NaN,,NaN,21.3,NaN,21.52,NaN,20.43,NaN,NaN,NaN,NaN,NaN,20.43,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17,NaN,17.5,NaN,18,NaN,17.9,NaN,17.2,NaN,NaN,NaN,NaN,NaN,17.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,200,NaN,8,2.5,NaN,12.56,0.542,1.9,62225,0.03
TRT-TNO,18.573722,98.48225,2457,1.5,0.5,N,NaN,NaN,,NaN,22.34,NaN,22.56,NaN,21.47,NaN,NaN,NaN,NaN,NaN,21.47,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.5,NaN,21.9,NaN,21.74,NaN,20.83,NaN,NaN,NaN,NaN,NaN,20.83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,200,NaN,3,2,NaN,11.8,1.9,1,32000,NaN
Gao Mei Gu,26.6955,105.031,3193,1.5,0.7,N,NaN,NaN,,NaN,21.14,NaN,21.36,NaN,20.27,NaN,NaN,NaN,NaN,NaN,20.27,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,200,NaN,6,2,NaN,10.4,0.375,1,30000,NaN
TNT ULTRASPEC,18.573722,98.48225,2457,1.5,2.4,N,NaN,22.16,NaN,25.28,NaN,25.25,NaN,24.55,NaN,23.46,NaN,NaN,NaN,NaN,24.55,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.02,22.5,22.15,21.9,21.75,NaN,21.05,NaN,20.59,NaN,NaN,NaN,NaN,21.05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,200,NaN,0,0.9,4,3.8,0.204,0.8,40000,2
VLT FORS2 (200kHz),-24.6275,289.5956,2635.4,1.56,8.2,N,NaN,NaN,NaN,NaN,27.95,NaN,28.13,NaN,27.23,NaN,NaN,NaN,NaN,NaN,27.23,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.4,NaN,21.7,NaN,20.8,NaN,19.9,19,NaN,NaN,NaN,NaN,19.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,200,NaN,31,0.69,NaN,3.4,0.0625,1.25,40200,NaN
VLT FORS2 (200kHz) 600RI+19,-24.6275,289.5956,2635.4,1.56,8.2,N,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27.68,NaN,NaN,NaN,NaN,NaN,23.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20,NaN,NaN,1000,6777,3330,1.66,31,0.69,NaN,3.4,0.0625,1.25,40200,NaN
VLT FORS2 (100kHz),-24.6275,289.5956,2635.4,1.56,8.2,N,NaN,NaN,NaN,NaN,27.95,NaN,28.13,NaN,27.23,NaN,NaN,NaN,NaN,NaN,27.23,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.4,NaN,21.7,NaN,20.8,NaN,19.9,19,NaN,NaN,NaN,NaN,19.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,200,NaN,41,0.69,NaN,3.4,0.0625,0.7,22500,NaN
VLT HAWK-I,-24.6275,289.5956,2635.4,1.56,8.2,N,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18.5,17.1,16.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18,16.5,15.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,200,NaN,9.6,0.69,NaN,3.75,0.0113,1.855,41740,1.6762
