Planet,Teff,Teff_err_up,Teff_err_dn,[Fe/H],[Fe/H]_err_up,[Fe/H]_err_dn,M*,M*_err_up,M*_err_dn,R*,R*_err_up,R*_err_dn,logg*,logg*_err_up,logg*_err_dn,rho*,rho*_err_up,rho*_err_dn,e,e_err_up,e_err_dn,a (AU),a_err_up,a_err_dn,Mp,Mp_err_up,Mp_err_dn,Rp,Rp_err_up,Rp_err_dn,gp,gp_err_up,gp_err_dn,rhop,rhop_err_up,rhop_err_dn,Teq,Teq_err_up,Teq_err_dn,Discovery_Reference,Recent_Reference,Type,RA:HH,RA:MM,RA:SS,Dec:DD,Dec:MM,Dec:SS,Vmag,Kmag,T14,Depth,T0 (HJD or BJD),T0_err,P (day),P_err,Ephemeris_Reference,Impact Parameter,Depth_Calc,Bmag,Rmag,Imag,Kmag_Calc,Umag,Vmag_Calc,Hmag,Jmag,a_Calc,Teq_Calc,Mp_Calc,ScaleHeight_Prox,Previous Study Flag,a-a_Calc % Error,Rp/R*,a_Calc/R*,V-Vcalc,K-Kcalc,umag,gmag,rmag,imag,zmag,RISEmag,SPRAT_Redmag,SPRAT_Bluemag,600RI+19mag,HKmag,G750Mmag,GR01mag
55_Cnc_e,5172,18.0,18.0,0.35,0.1,0.1,0.873,0.051,0.035,0.954,0.017,0.018,4.43,0.02,0.02,1.0,0.11,0.07,0.05,0.03,0.03,0.01544,5e-05,0.00005,0.0243,0.0012,0.0009,0.1692,0.0039,0.0041,21.4,2.1,1.9,4.71,0.56,0.53,2349.0,188.0,193.0,2011ApJ...737L..18W,2019ApJ...883...79D,TEP,8,52,35.81,28,19,51.0,5.95,4.01,0.06433,0.039,2457178.8178,7e-05,0.73654604,1.6e-07,2021AJ....161..181Z,0.16,0.00033218105086577055,6.7107169511601885,5.403716951160188,4.980716951160188,3.8297169511601883,7.212716951160188,6.130283048839812,4.190283048839812,4.595283048839812,0.01525496436299333,1972.2429062630547,0.02051437022119468,391.70374624206727,3.0,1.212953584182374,0.018225834709712764,3.4801849932424065,-0.1802830488398115,0.1802830488398115,7.328959438273263,6.3977564235907485,5.637574525200418,5.4141979511601885,5.319687588465887,4.373389126611383,5.403716951160188,5.95,4.8636547144909255,4.1001415244199055,5.95,4.3295236181359344
pi_Men_c,5998,62.0,62.0,0.09,0.04,0.04,1.091,0.031,0.031,1.19,0.004,0.004,4.365,0.007,0.007,0.7442,0.0009,0.0009,0.066,0.086,0.047,0.06876,0.00065,0.00065,0.0114,0.0012,0.0012,0.1914,0.0013,0.0013,11.0,1.9,9.5,2.1,0.4,0.4,1170.0,2.8,4.3,2018ApJ...868L..39H,2022AJ....163..223H,TEP,5,37,9.89,-80,28,8.8,5.67,4.24,0.1246,0.03,2458509.8068,0.0003,6.267852,1.6e-05,2020A+A...642A..31D,0.6585451695390041,0.0002731875043612667,6.1357169511601874,5.271716951160188,4.963716951160188,4.243716951160188,6.149716951160188,5.666283048839812,4.389283048839812,4.626283048839812,0.06849001413956574,1205.5899306774506,0.024592110344676517,379.56106654316653,3.0,0.39419740793760294,0.01652838480799823,12.424883213367107,0.003716951160187776,-0.003716951160187776,6.0002582954161126,5.982632423590749,5.466058525200418,5.368792951160188,5.347870671367441,4.37551719846571,5.271716951160188,5.67,4.775283433614251,4.314641524419907,5.67,4.12054027201618
AU_Mic_b,3540,120.0,110.0,0.01,0.06,0.06,0.635,0.04,0.07,0.862,0.052,0.052,4.37,0.08,0.10,1.106,0.099,0.085,0.07,0.09,0.04,0.0694,0.0027,0.0023,0.0283,0.0082,0.0084,0.412,0.013,0.013,,,,0.37,0.12,0.12,556.0,8.0,9.0,2020Natur.582..497P,2025A+A...694A.137B,TEP,20,45,9.53,-31,20,27.2,8.63,4.53,0.145,0.3,2460149.955,0.0012,8.4631428,4.9e-06,2025A+A...694A.137B,0.5,0.002412408150442702,10.043716951160189,7.542716951160189,6.370716951160189,4.3037169511601885,11.213716951160189,8.856283048839812,4.850283048839812,5.450283048839812,0.06985843807474491,599.6264161111898,0.07593393746591379,,2.0,-0.6562386554569186,0.04911627174819667,17.312333646793512,-0.22628304883981087,0.22628304883981176,10.992730820031547,9.660592797157173,8.009924898766844,6.989200951160189,6.415408205046198,5.6274473675413645,7.542716951160189,8.63,6.645646420634192,4.690141524419906,8.63,6.368942536948374
AU_Mic_c,3540,120.0,110.0,0.01,0.06,0.06,0.635,0.04,0.07,0.862,0.052,0.052,4.37,0.08,0.10,1.106,0.099,0.085,0.18,0.08,0.07,0.1169,0.0047,0.0047,0.0455,0.0102,0.0108,0.246,0.023,0.026,,,,2.94,0.86,0.88,428.0,8.0,8.0,2021A+A...649A.177M,2025A+A...694A.137B,TEP,20,45,9.53,-31,20,27.2,8.63,4.53,0.155,0.2,2460133.8718,0.0085,18.858827,5e-05,2025A+A...694A.137B,0.26,0.0008600556816864839,10.043716951160189,7.542716951160189,6.370716951160189,4.3037169511601885,11.213716951160189,8.856283048839812,4.850283048839812,5.450283048839812,0.11918114214464365,459.0779368762477,0.03556967341896315,,2.0,-1.91401265636064,0.029326705946738783,29.16155336181789,-0.22628304883981087,0.22628304883981176,10.992730820031547,9.660592797157173,8.009924898766844,6.989200951160189,6.415408205046198,5.6274473675413645,7.542716951160189,8.63,6.645646420634192,4.690141524419906,8.63,6.368942536948374
CoRoT-01,5950,150.0,150.0,-0.3,0.25,0.25,0.95,0.11,0.11,1.131,0.045,0.045,4.311,0.019,0.019,0.66,0.019,0.019,0.0,,,0.02536,0.00138,0.00022,1.03,0.1,0.1,1.551,0.064,0.064,10.65,0.69,0.69,0.259,0.021,0.021,1915.0,49.0,49.0,2008A+A...482L..17B,2011MNRAS.417.2166S,TEP,6,48,19.17,-3,6,7.8,13.6,12.15,0.10439,2.3,2454138.303971,3.6e-05,1.50897655,9e-08,2016MNRAS.459..789T,0.420251,0.019859544005395788,14.08770254832227,13.15570254832227,12.82770254832227,12.05170254832227,14.14570254832227,13.69829745167773,12.32529745167773,12.587297451677731,0.025310615856913167,1917.9187712861162,0.22559594291543483,641.6639674757675,3.0,0.19511237247648855,0.14092389437350852,4.821587504690617,-0.09829745167773041,0.09829745167773041,13.85783771589892,13.954643573381768,13.362329967920223,13.23771854832227,13.203998341068383,12.236209124302992,13.15570254832227,13.6,12.651886836785328,12.237648725838866,13.6,12.023157174652047
CoRoT-02,5598,50.0,50.0,0.04,0.05,0.05,0.997,0.049,0.049,0.901,0.019,0.019,4.527,0.017,0.017,1.362,0.064,0.064,0.0143,0.0077,0.0077,0.02835,0.00047,0.00047,3.57,0.15,0.15,1.46,0.031,0.031,41.5,1.7,1.7,1.073,0.058,0.058,1521.0,18.0,18.0,2008A+A...482L..21A,2012MNRAS.426.1291S,TEP,19,27,6.5,1,23,1.4,12.57,10.31,0.09446,3.2,2457683.441534,3.7e-05,1.74299713,0.0,xxx2602014460.3101B,0.221,0.027728540839749488,13.187716951160189,12.095716951160188,11.725716951160189,10.792716951160187,13.41471695116019,12.087283048839813,10.475283048839813,10.799283048839813,0.028316268237124784,1522.6867848851375,0.22559594291543483,130.78851208595856,3.0,0.11912502944505801,0.1665188903390528,6.76599513125419,0.482716951160187,-0.482716951160187,13.44171486684469,12.95202042359075,12.310350525200418,12.146106951160188,12.08551109623791,11.127261703390623,12.095716951160188,12.57,11.576118235890448,10.392641524419908,12.57,10.987535389444396
CoRoT-04,6190,60.0,60.0,0.05,0.07,0.07,1.194,0.049,0.05,1.148,0.092,0.032,4.396,0.024,0.068,0.79,0.064,0.161,0.0,,,0.0912,0.00125,0.00130,0.731,0.071,0.072,1.16,0.115,0.04,13.5,1.6,2.6,0.438,0.062,0.116,1058.0,42.0,17.0,2008A+A...488L..43A,2011MNRAS.417.2166S,TEP,6,48,46.72,0,40,22.0,14.0,12.29,0.184,1.3,2454141.36498,0.00098,9.2016281,4e-06,2021FrASS...8..210K,0.0,0.010782093385371493,14.406842826406674,13.576842826406674,13.277842826406674,12.586842826406675,14.407842826406673,13.703157173593324,12.474157173593325,12.699157173593324,0.0911698156983174,1059.1789777527706,0.22559594291543483,279.6664572604857,3.0,0.033107779643296115,0.1038368594737509,17.08269389995988,0.29684282640667625,-0.29684282640667625,13.886772939010516,14.335342499490707,13.777825791756092,13.680695826406675,13.665532613971441,12.69112071021874,13.576842826406674,14.0,13.083703349762315,12.382078586796663,14.0,12.427409891259195
CoRoT-05,6100,65.0,65.0,-0.25,0.06,0.06,0.99,0.07,0.07,1.115,0.035,0.033,4.339,0.021,0.020,0.714,0.045,0.043,0.09,0.09,0.04,0.0495,0.0012,0.0012,0.459,0.053,0.032,1.256,0.046,0.045,7.24,0.88,0.48,0.217,0.035,0.028,1397.0,15.0,15.0,2009A+A...506..281R,2019MNRAS.483..824R,TEP,6,45,6.54,0,48,54.9,14.0,12.55,0.117,1.4,2454400.19896,2e-05,4.0379156,1.2e-06,2019MNRAS.483..824R,0.755,0.013399865238086244,14.428842826406674,13.564842826406675,13.256842826406675,12.536842826406675,14.442842826406673,14.013157173593326,12.736157173593327,12.973157173593327,0.04946026131473926,1396.601046888975,0.22559594291543483,688.5671848666996,2.0,0.08034467308586432,0.11575778694362744,9.546270588064672,-0.013157173593326021,0.013157173593326021,13.960837510439097,14.346298499490706,13.769029791756093,13.661918826406675,13.64099654661393,12.668643073712198,13.564842826406675,14.0,13.068409308860739,12.643078586796664,14.0,12.4224024962581
CoRoT-06,6090,70.0,70.0,-0.2,0.1,0.1,1.054,0.063,0.063,1.043,0.03,0.03,4.425,0.022,0.022,0.929,0.064,0.064,0.0,,,0.0855,0.0017,0.0017,2.96,0.34,0.34,1.185,0.041,0.041,52.3,6.4,6.4,1.66,0.23,0.23,1025.0,16.0,16.0,2010A+A...512A..14F,2011MNRAS.417.2166S,TEP,18,44,17.4,6,39,47.4,13.91,12.12,0.17,1.5,2454826.66625,0.00054,8.886621,6.3e-06,2021MNRAS.504.5671E,0.291,0.01363135318824869,14.342144986832363,13.478144986832364,13.170144986832364,12.450144986832363,14.356144986832362,13.579855013167636,12.302855013167637,12.539855013167637,0.0854498214577741,1025.975912911564,0.22559594291543483,69.93758927414493,3.0,0.05872281693496252,0.11675338619607009,17.627276423616323,0.33014498683236404,-0.33014498683236404,13.903919968795257,14.253283627022052,13.681450275348123,13.575220986832363,13.554298707039619,12.581945234137887,13.478144986832364,13.91,12.981711469286427,12.211427506583817,13.91,12.334931504251184
CoRoT-07,5313,73.0,73.0,0.03,0.07,0.07,0.884,0.029,0.032,0.8389,0.0093,0.0088,4.573,0.011,0.011,1.49,0.12,0.13,0.0,0.32,0.0,0.01702,0.00017,0.00004,0.0191,0.002,0.002,0.141,0.009,0.009,21.5,3.5,3.0,4.9,2.1,2.3,1756.0,27.0,27.0,2009A+A...506..287L,2022MNRAS.515.3975J,TEP,6,43,49.47,-1,3,46.9,11.72,9.81,0.04413,0.034,2454398.07756,0.00059,0.85359159,5.7e-07,2014A+A...569A..74B,0.61,0.00029832436383975947,12.410716951160188,11.210716951160189,10.813716951160188,9.772716951160188,12.768716951160188,11.757283048839813,9.983283048839812,10.348283048839813,0.016901452283267865,1804.9542531248248,0.015571164052319826,291.45702887488784,3.0,0.7014055049547172,0.01727206889286166,4.3626740845306005,-0.037283048839812594,0.037283048839812594,12.858212723987549,12.133975423590748,11.434695525200418,11.240775951160188,11.16290289416537,10.210753914955696,11.210716951160189,11.72,10.68077005080705,9.896641524419906,11.72,10.120222915377225
