System,Type,RAh,RAm,RAs,Decd,Decm,Decs,Vmag,Kmag,length,depth,T0(HJDorBJD),T0err,Period(day),Perioderr,Ephemeris_reference
55_Cnc_e,TEP,08,52,35.81,+28,19,51.0,5.95,4.01,0.06433,0.039,2457178.81780,0.00007,0.73654604,0.00000016,2021AJ....161..181Z
pi_Men_c,TEP,05,37,09.89,-80,28,08.8,5.67,4.24,0.1246,0.03,2458509.8068,0.0003,6.267852,0.000016,2020A+A...642A..31D
AD_3116,BD,08,42,39.43,+19,24,51.9,18.73,13.50,0.068,14,2457178.817792,0.000080,1.98279436,0.00000023,2025ApJ...986..121W
AU_Mic_b,TEP,20,45,09.53,-31,20,27.2,8.63,4.53,0.145,0.3,2460149.9550,0.0012,8.46314280,0.0000049,2025A+A...694A.137B
AU_Mic_c,TEP,20,45,09.53,-31,20,27.2,8.63,4.53,0.155,0.2,2460133.8718,0.0085,18.858827,0.000050,2025A+A...694A.137B
CoRoT-01,TEP,06,48,19.17,-03,06,07.8,13.6,12.15,0.10439,2.3,2454138.303971,0.000036,1.50897655,0.00000009,2016MNRAS.459..789T
CoRoT-02,TEP,19,27,06.50,+01,23,01.4,12.57,10.31,0.09446,3.2,2457683.441534,0.000037,1.74299713,0.00000000,xxx2602014460.3101B
CoRoT-03,BD,19,28,13.27,+00,07,18.6,13.29,11.62,0.153,0.25,2454283.13388,0.00024,4.2567994,0.0000035,2009A+A...506..377T
CoRoT-04,TEP,06,48,46.72,-00,40,22.0,14.0,12.29,0.184,1.3,2454141.36498,0.00098,9.2016281,0.0000040,2021FrASS...8..210K
CoRoT-05,TEP,06,45,06.54,+00,48,54.9,14.0,12.55,0.117,1.4,2454400.19896,0.00002,4.0379156,0.0000012,2019MNRAS.483..824R
CoRoT-06,TEP,18,44,17.40,+06,39,47.4,13.91,12.12,0.170,1.5,2454826.66625,0.00054,8.8866210,0.0000063,2021MNRAS.504.5671E
CoRoT-07,TEP,06,43,49.47,-01,03,46.9,11.72,9.81,0.04413,0.034,2454398.07756,0.00059,0.85359159,0.00000057,2014A+A...569A..74B
CoRoT-08,TEP,19,26,21.24,+01,25,35.2,14.76,11.46,0.114,0.7,2454239.03317,0.00049,6.212445,0.000007,2019MNRAS.483..824R
CoRoT-09,TEP,18,43,08.81,+06,12,15.2,13.69,11.69,0.337,1.6,2455365.52723,0.00037,95.272656,0.000068,2017A+A...603A..43B
CoRoT-10,TEP,19,24,15.29,+00,44,46.1,15.22,11.78,0.124,1.4,2454273.3436,0.0012,13.2406,0.0002,2010A+A...520A..65B
CoRoT-11,TEP,18,42,44.95,+05,56,15.7,12.80,11.25,0.104,1.2,2454690.49838,0.00016,2.994325,0.000021,2012A+A...543L...5G
CoRoT-12,TEP,06,43,03.76,-01,17,47.1,15.52,13.56,0.10726,1.9,2454398.62771,0.00024,2.82805268,0.00000065,2019MNRAS.483..824R
CoRoT-13,TEP,06,50,53.07,-05,05,11.1,15.04,13.38,0.1308,1.0,2454790.8105,0.0023,4.0350906,0.0000055,2021FrASS...8..210K
CoRoT-14,TEP,06,53,41.80,-05,32,09.7,16.03,13.81,0.0693,0.75,2454787.6694,0.0053,1.51214,0.00013,2011A+A...528A..97T
CoRoT-15,BD,06,28,27.82,+06,11,10.5,15.5,13.39,0.135,0.68,2454753.5608,0.0011,3.06036,0.00003,2011A+A...525A..68B
CoRoT-16,TEP,18,34,05.93,-06,00,09.3,15.63,12.85,0.122,0.9,2454923.9138,0.0022,5.35227,0.00020,2012A+A...541A.149O
CoRoT-17,TEP,18,34,47.82,-06,36,44.0,15.46,12.47,0.197,0.44,2454923.3093,0.0036,3.7681,0.0003,2011A+A...531A..41C
CoRoT-18,TEP,06,32,41.36,-00,01,53.7,15.00,13.01,0.0995,2.0,2455321.72565,0.00024,1.9000900,0.0000005,2019MNRAS.483..824R
CoRoT-19,TEP,06,28,08.04,-00,10,14.4,14.01,11.84,0.196,0.79,2455257.44102,0.00060,3.89713,0.00002,2012A+A...537A.136G
