AERONET_Site,Site_Latitude(Degrees),Site_Longitude(Degrees),Site_Elevation(m),Month,440-870_Angstrom_Exponent,440-675_Angstrom_Exponent,340-440_Angstrom_Exponent,AOD_Extinction-Total[440nm],AOD_Extinction-Total[675nm],AOD_Extinction-Total[870nm],AOD_Extinction-Total[1020nm],Absorption_AOD[440nm],Absorption_AOD[675nm],Absorption_AOD[870nm],Absorption_AOD[1020nm],Scattering_AOD[440nm],Scattering_AOD[675nm],Scattering_AOD[870nm],Scattering_AOD[1020nm],Asymmetry_Factor-Total[440nm],Asymmetry_Factor-Total[675nm],Asymmetry_Factor-Total[870nm],Asymmetry_Factor-Total[1020nm],count
AAU_ET,9.019167,38.747778,2370,1,0.7524975,0.8712835,0.7188045,0.16015,0.122,0.1049125,0.0973335,0.027673024,0.017448821,0.016164462,0.015180369,0.132476976,0.104551179,0.088748038,0.082153131,0.743749,0.698621,0.7107865,0.713786,16
AAU_ET,9.019167,38.747778,2370,2,0.961274,1.039165,0.856511,0.293,0.19085,0.156,0.1416,0.050455967,0.027167243,0.023920245,0.021495521,0.242371239,0.163554036,0.131964198,0.11951572,0.728682,0.684757,0.680176,0.675529,13
AAU_ET,9.019167,38.747778,2370,3,0.703898,0.820845,0.678237,0.16975,0.12825,0.11455,0.10595,0.02933185,0.018342716,0.017649366,0.016524219,0.14041815,0.109907284,0.096900634,0.089425781,0.773543,0.722261,0.715939,0.716133,5
AAU_ET,9.019167,38.747778,2370,4,0.60574,0.691969,0.598738,0.280933,0.208625,0.18125,0.169775,0.048543651,0.0298382,0.027926212,0.026478521,0.232389349,0.1787868,0.153323788,0.143296479,0.739,0.701479,0.702551,0.706164,15
AAU_ET,9.019167,38.747778,2370,5,0.709739,0.810214,0.732144,0.28025,0.19485,0.168833,0.1577,0.048425632,0.027868056,0.026013055,0.024595275,0.226737053,0.159954734,0.136363005,0.129087,0.733859,0.700196,0.706885,0.715192,17
AAU_ET,9.019167,38.747778,2370,6,0.868295,0.943689,0.80985,0.48525,0.32545,0.2695,0.2452,0.056657,0.032728,0.030705,0.028868,0.407789,0.280171,0.236526,0.215025,0.745375,0.711308,0.704231,0.703424,3
AAU_ET,9.019167,38.747778,2370,7,0.829618,0.913774,0.8072035,0.43035,0.2914,0.24415,0.224,0.0374095,0.0257765,0.0270555,0.0273735,0.3929405,0.2656235,0.2170945,0.1966265,0.731556,0.702063,0.697916,0.7007235,2
AAU_ET,9.019167,38.747778,2370,8,1.112945,1.171534,0.889241,0.4339,0.3051,0.2435,0.2128,0.065374,0.036402,0.034149,0.032687,0.362908,0.238705,0.204955,0.178655,0.731482,0.691307,0.677601,0.678769,5
AAU_ET,9.019167,38.747778,2370,9,0.953314,1.041125,0.844124,0.333,0.2073,0.1612,0.14855,0.057540537,0.029648694,0.024836995,0.023168219,0.275459463,0.177651306,0.136363005,0.125381781,0.746108,0.695972,0.686669,0.688357,9
AAU_ET,9.019167,38.747778,2370,10,1.069629,1.183649,0.823608,0.236233,0.153487,0.11935,0.0974,0.040819741,0.021952191,0.018388929,0.01519074,0.195413259,0.131534809,0.100961071,0.08220926,0.739621,0.687082,0.671292,0.672631,21
AAU_ET,9.019167,38.747778,2370,11,1.1235225,1.1585375,0.759213,0.2551265,0.1549835,0.12055,0.105639,0.044084432,0.022166225,0.01857382,0.016475715,0.208925313,0.132817275,0.10060903,0.087278127,0.744793,0.6883115,0.6723335,0.669968,20
AAU_ET,9.019167,38.747778,2370,12,0.940726,1.061264,0.791749,0.17,0.1044,0.08385,0.07575,0.029375049,0.014931614,0.012919244,0.011814154,0.140624951,0.089468386,0.070930756,0.063935846,0.729371,0.682833,0.684449,0.684619,5
AAU_Jackros_ET,9.011667,38.820833,2370,1,0.977081,1.06665,0.74325,0.1728,0.1235,0.1014,0.09035,0.021270901,0.011112354,0.01049008,0.009939363,0.151529099,0.112387646,0.09090992,0.080410637,0.732485,0.679756,0.674069,0.67666,49
AAU_Jackros_ET,9.011667,38.820833,2370,2,0.788045,0.953559,0.528531,0.11125,0.0766,0.059933,0.0542,0.013694374,0.006892359,0.006200217,0.005962517,0.097555626,0.069707641,0.053732783,0.048237483,0.740554,0.689074,0.683817,0.682939,27
AAU_Jackros_ET,9.011667,38.820833,2370,3,0.8903885,1.030364,0.723505,0.1759,0.114375,0.094275,0.0843,0.021652497,0.010291299,0.009752982,0.009273805,0.154247503,0.104083701,0.084522018,0.075026195,0.727794,0.687113,0.687397,0.6917465,16
AAU_Jackros_ET,9.011667,38.820833,2370,4,0.907476,1.107977,0.783822,0.1227,0.0861,0.0706,0.06215,0.015103817,0.007747155,0.007303744,0.006837093,0.107596183,0.078352845,0.063296256,0.055312907,0.703365,0.663469,0.657101,0.657134,13
AAU_Jackros_ET,9.011667,38.820833,2370,5,0.92644,1.034687,0.8477455,0.303275,0.1911,0.1522,0.13825,0.037331785,0.016412092,0.014741977,0.014042719,0.265943215,0.173905095,0.136454534,0.12304118,0.7224905,0.686418,0.687311,0.6937855,22
AAU_Jackros_ET,9.011667,38.820833,2370,6,0.864478,0.93832,0.852243,0.4495,0.313,0.2561,0.2298,0.06574,0.032851,0.027724,0.026490299,0.375287,0.275811,0.224191,0.201654,0.728877,0.688743,0.6895,0.692442,11
AAU_Jackros_ET,9.011667,38.820833,2370,7,0.442271,0.503838,0.510668,0.4362,0.341,0.3091,0.2952,0.04365,0.019235,0.020865,0.017719,0.39255,0.321765,0.288235,0.277481,0.730668,0.708464,0.71797,0.720345,1
AAU_Jackros_ET,9.011667,38.820833,2370,8,1.220168,1.273891,1.002432,0.3908,0.2408,0.1691,0.1382,0.029776,0.015759,0.014568,0.01432,0.342694282,0.216596,0.146734,0.118071,0.737011,0.687429,0.669979,0.662386,5
AAU_Jackros_ET,9.011667,38.820833,2370,9,1.133994,1.1694785,0.845357,0.3901,0.23795,0.18215,0.1563,0.039696052,0.015247,0.014883968,0.013918958,0.345383126,0.217656814,0.165945215,0.142812,0.7333515,0.687976,0.676098,0.677841,14
AAU_Jackros_ET,9.011667,38.820833,2370,10,1.138875,1.190354,0.7850715,0.17315,0.1021,0.0744,0.06425,0.021040097,0.009186812,0.007696864,0.007068113,0.151836016,0.092913188,0.066703136,0.057181887,0.7234085,0.680547,0.6688155,0.6630725,38
AAU_Jackros_ET,9.011667,38.820833,2370,11,1.155842,1.202039,0.686918,0.1402,0.0875,0.064075,0.05505,0.017257988,0.007873125,0.006628717,0.006056026,0.122942012,0.079626875,0.057446283,0.048993974,0.73433,0.687455,0.669522,0.660932,45
AAU_Jackros_ET,9.011667,38.820833,2370,12,1.067225,1.1612465,0.7903715,0.1792,0.1137915,0.0849,0.0721665,0.022058712,0.010238797,0.008783115,0.007939004,0.157141288,0.103552703,0.076116885,0.064227496,0.733684,0.6785005,0.663021,0.6566735,38
ALERIA_MF,42.129,9.496,50,1,0.888844,0.791049,0.459908,0.09644,0.06958,0.05912,0.05418,0.006046407,0.002273753,0.00240973,0.002288424,0.090393593,0.067306247,0.05671027,0.051891576,0.740027,0.695502,0.696218,0.692934,3
ALERIA_MF,42.129,9.496,50,2,1.372175,1.4563185,0.8229605,0.0777915,0.045475,0.0329055,0.0273445,0.00487722,0.001486043,0.001341228,0.001154962,0.07291428,0.043988957,0.031564272,0.026189538,0.6900535,0.6587505,0.658417,0.67002,12
ALERIA_MF,42.129,9.496,50,3,0.85756,0.90028,0.470966,0.093167,0.057833,0.0456,0.03945,0.005841203,0.001889881,0.001858655,0.001666267,0.087325797,0.055943119,0.043741345,0.037783733,0.699708,0.670719,0.684272,0.692616,11
ALERIA_MF,42.129,9.496,50,4,1.158817,1.1234375,0.965901,0.21975,0.12105,0.0846,0.0697,0.013777458,0.003955702,0.003448295,0.002943949,0.205972542,0.117094298,0.081151705,0.066756051,0.735483,0.703075,0.6925065,0.6833315,2
ALERIA_MF,42.129,9.496,50,5,1.4110275,1.4415125,0.914027,0.259355,0.161075,0.1153,0.0922,0.016260535,0.005263649,0.004699626,0.003894292,0.243094465,0.155811351,0.110600374,0.088305708,0.701221,0.65007,0.6319105,0.632454,6
ALERIA_MF,42.129,9.496,50,6,1.574736,1.569056,1.081651,0.287425,0.17112,0.10068,0.07266,0.010752373,0.003037443,0.002649399,0.002266038,0.269404587,0.168563,0.098819,0.071132,0.696789,0.646934,0.632505,0.628004,13
ALERIA_MF,42.129,9.496,50,7,0.9957745,1.044176,0.8137475,0.2191335,0.12725,0.0983,0.087775,0.013738806,0.004158307,0.003861336,0.003497557,0.205394694,0.123091693,0.094293293,0.084067609,0.726218,0.7014195,0.707409,0.7087555,28
ALERIA_MF,42.129,9.496,50,8,1.4485865,1.598195,1.3157485,0.16136,0.0838645,0.057115,0.04704,0.010116635,0.002740545,0.002328007,0.001986849,0.151243365,0.081123955,0.054786993,0.045053151,0.694878,0.6467665,0.655717,0.656735,52
