,Planet,Teff,Teff_err_up,Teff_err_dn,[Fe/H],[Fe/H]_err_up,[Fe/H]_err_dn,M*,M*_err_up,M*_err_dn,R*,R*_err_up,R*_err_dn,logg*,logg*_err_up,logg*_err_dn,rho*,rho*_err_up,rho*_err_dn,e,e_err_up,e_err_dn,a (AU),a_err_up,a_err_dn,Mp,Mp_err_up,Mp_err_dn,Rp,Rp_err_up,Rp_err_dn,gp,gp_err_up,gp_err_dn,rhop,rhop_err_up,rhop_err_dn,Teq,Teq_err_up,Teq_err_dn,Discovery_Reference,Recent_Reference,Type,RA:HH,RA:MM,RA:SS,Dec:DD,Dec:MM,Dec:SS,Vmag,Kmag,T14,Depth,T0 (HJD or BJD),T0_err,P (day),P_err,Ephemeris_Reference,Impact Parameter,Depth_Calc,Bmag,Rmag,Imag,Kmag_Calc,Umag,Vmag_Calc,Hmag,Jmag,a_Calc,Teq_Calc,ScaleHeight_Prox,Previous Study Flag,a-a_Calc % Error,Rp/R*,a_Calc/R*,V-Vcalc,K-Kcalc,umag,gmag,rmag,imag,zmag,RISEmag,SPRAT_Redmag,SPRAT_Bluemag,600RI+19mag,HKmag,G750Mmag,GR01mag,Exposure Time for Half_Well,SNR (Half_Well),Cadence (Half_Well),Rank,Habitable_Rank,Multi_Transit_Rank,Multi_Transit_Habitable_Rank
274,HD_209458,6117,50.0,50.0,0.02,0.05,0.05,1.148,0.04,0.04,1.162,0.014,0.014,4.368,0.006,0.006,0.733,0.008,0.008,0.0,,,0.04747,0.00055,0.00055,0.714,0.017,0.017,1.38,0.017,0.017,9.3,0.08,0.08,0.272,0.004,0.004,1459.0,12.0,12.0,2000ApJ...529L..41H,2010MNRAS.408.1689S,TEP,22,3,10.8,18,53,4.0,7.65,6.31,0.127,2.1,2455216.40564,9.4e-05,3.52474859,3.8e-07,2014ApJ...790...53Z,0.507,0.0148941870395728,8.093716951160188,7.2637169511601885,6.964716951160188,6.273716951160188,8.094716951160187,7.686283048839812,6.457283048839812,6.682283048839811,0.0474612577704062,1459.5037685763152,559.5728423326352,3.0,0.01841971747989,0.122041743020873,8.784489182169446,-0.0362830488398113,0.0362830488398113,7.906193723987541,7.951676423590749,7.454854525200418,7.367569951160188,7.352406738724954,6.377994834972255,7.2637169511601885,7.65,6.770577474515829,6.383641524419906,7.65,6.10550744487227,0.38277247636334877,42.60595957064396,17340.830092772918,195847.53710338508,134.18775704459202,104316.74845509873,71.47412065736242
1013,WASP-107,4425,70.0,70.0,0.02,0.09,0.09,0.683,0.017,0.016,0.67,0.02,0.02,4.633,0.012,0.012,2.441,0.023,0.023,0.06,0.04,0.004,0.0553,0.0013,0.0013,0.096,0.005,0.005,0.924,0.022,0.022,3.09,0.38,0.34,0.101,0.011,0.01,736.0,17.0,17.0,2017A+A...604A.110A,arXiv:2011.13444,TEP,12,33,32.84,-10,8,46.1,11.59,8.64,0.11411,2.7,2457584.329746,1.1e-05,5.72149242,4.6e-07,2017MNRAS.469.1622M,0.09,0.0200846941977851,12.637716951160188,10.832716951160188,10.257716951160187,8.668716951160187,13.693716951160187,11.561283048839814,8.856283048839813,9.416283048839814,0.0551340170350805,743.8307979747185,849.5787093608075,3.0,0.3010536395594262,0.1417204791051212,17.748176430718335,0.0287169511601863,-0.0287169511601863,13.700785295416118,12.230399423590748,11.122911525200418,10.728741951160188,10.536967339761222,9.624399932545028,10.832716951160188,11.59,10.23052656546669,8.748141524419907,11.59,9.808080897829877,1.693246406283023,30.64503214712201,5073.522312004768,184583.4292783653,248.15244243844683,77168.14254357317,103.74421542329843
975,WASP-069,4700,50.0,50.0,0.15,0.08,0.08,0.826,0.029,0.029,0.813,0.028,0.028,4.535,0.023,0.023,1.54,0.13,0.13,0.0,0.1,0.0,0.04525,0.00053,0.00053,0.26,0.017,0.017,1.057,0.047,0.047,5.32,0.56,0.56,0.219,0.031,0.031,963.0,18.0,18.0,2014MNRAS.445.1114A,2014MNRAS.445.1114A,TEP,21,0,6.19,-5,5,40.1,9.87,7.46,0.0929,2.0,2455845.53874,0.00014,3.86813577,3.2e-07,arXiv:2203.00299,0.686,0.0178500636924553,10.883716951160189,9.143716951160188,8.593716951160188,7.050716951160187,11.887716951160186,10.279283048839812,7.671283048839812,8.215283048839812,0.0452481685492039,960.6737540699836,645.6526535641942,2.0,0.0040475688956153,0.1336041305216847,11.968271886952374,-0.4092830488398125,0.4092830488398133,11.919928009701824,10.482096423590749,9.425634525200415,9.058566951160188,8.882789749087648,7.964729991292287,9.143716951160188,9.87,8.55209927435306,7.565641524419906,9.87,8.1157793800766,0.8954724294421449,38.37303143997409,7007.204882189094,145474.64115775356,151.42980698851898,73966.73350848907,76.99464380610183
1031,WASP-127,5750,100.0,100.0,-0.18,0.06,0.06,0.95,0.02,0.02,1.333,0.027,0.027,4.18,0.01,0.01,0.404,0.015,0.015,0.0,,,0.052,0.0005,0.0005,0.165,0.021,0.017,1.311,0.025,0.029,2.14,0.32,0.28,0.073,0.01,0.009,1400.0,24.0,24.0,2017A+A...599A...3L,arXiv:2009.13386,TEP,10,42,14.08,-3,50,6.3,10.16,8.64,0.1814,1.1,2457248.74141,0.00022,4.1780647,1.1e-06,arXiv:2103.12139,0.15,0.010214473151259,10.723716951160188,9.710716951160189,9.360716951160189,8.509716951160188,10.856716951160188,10.290283048839813,8.799283048839813,9.092283048839812,0.0499073479967755,1432.9596809493637,2333.4502594822056,3.0,4.193073940453967,0.1010666767597462,8.388351158941093,-0.1302830488398125,0.1302830488398125,10.830747009701836,10.519195423590748,9.91867552520042,9.776166951160189,9.728369023699049,8.765584486604146,9.710716951160189,10.16,9.198681485289615,8.719641524419906,10.16,8.588358166071341,1.693246406283023,30.64503214712201,8065.3487634533785,130218.65392590809,90.87391338159334,63706.77509783521,44.45817697789532
415,KELT-20,8730,250.0,260.0,-0.29,0.22,0.36,1.76,0.14,0.2,1.561,0.058,0.064,4.292,0.017,0.02,0.457,0.025,0.025,0.0,,,0.0542,0.0014,0.0021,,3.5,0.0,1.735,0.07,0.075,,,,,,,2261.0,73.0,73.0,2017AJ....154..194L,2017AJ....154..194L,TEP,19,38,38.73,31,13,9.2,7.59,7.42,0.12897,1.3,2458312.58576,0.00019,3.4740985,1.6e-06,arXiv:2106.02610,0.7024079441517415,0.0130455994174531,7.577716951160188,7.461716951160188,7.412716951160188,7.315716951160188,7.640716951160187,7.694283048839812,7.540283048839812,7.530283048839812,0.054200774364509,2259.156137278924,,2.0,-0.0014286963942756,0.114217334137394,7.466202970751878,-0.1042830488398118,0.1042830488398118,6.350948295416116,7.656122423590748,7.583968525200418,7.753819951160188,7.898630831989203,6.865926591494549,7.461716951160188,7.59,7.0533159566533286,7.480141524419906,7.59,6.1269315429026,0.8722016175712812,38.57522286906974,9929.59538243778,130017.74410252496,57.55146444155333,69755.99897321893,30.877015458186808
409,KELT-11,5375,25.0,25.0,0.17,0.07,0.07,1.44,0.07,0.07,2.69,0.04,0.04,3.7,0.1,0.1,0.074,0.002,0.002,0.007,0.002,0.006,0.06229,0.00088,0.00076,0.171,0.015,0.015,1.35,0.1,0.1,2.55,0.52,0.46,0.07,0.021,0.018,1712.0,51.0,46.0,2017AJ....153..215P,2017AJ....154...25B,TEP,10,46,49.74,-9,23,56.5,8.03,6.12,0.2974,0.22,2458260.168608,3e-05,4.73620495,8.6e-07,arXiv:2010.01310,0.36,0.0026597074125251,8.720716951160187,7.520716951160187,7.123716951160187,6.082716951160188,9.078716951160189,8.067283048839812,6.293283048839812,6.658283048839812,0.062327686351934,1702.7363344506286,2394.682085899094,3.0,-0.0604648658402116,0.0515723512410008,4.979313374244764,-0.0372830488398125,0.0372830488398125,9.16821272398754,8.443975423590748,7.7446955252004175,7.550775951160187,7.472902894165369,6.520753914955694,7.520716951160187,8.03,6.99077005080705,6.206641524419906,8.03,6.430222915377222,0.3278249444727762,43.03491982082239,44469.10824081015,118730.32318372515,69.72912997832535,54556.4881056872,32.040479199199865
268,HD_189733,5050,50.0,50.0,-0.03,0.05,0.05,0.84,0.042,0.042,0.752,0.025,0.025,4.61,0.026,0.026,1.98,0.17,0.17,0.0041,0.0025,0.002,0.03142,0.00052,0.00052,1.15,0.039,0.039,1.151,0.038,0.038,21.5,1.2,1.2,0.75,0.07,0.07,1191.0,20.0,20.0,2005A+A...444L..15B,2010MNRAS.408.1689S,TEP,20,0,43.71,22,42,39.1,7.68,5.54,0.07529,2.6,2453955.525551,9e-06,2.2185752,7e-08,2015MNRAS.450.3101B,0.6631,0.0247392114586874,8.486716951160188,7.106716951160188,6.664716951160187,5.438716951160188,9.086716951160188,7.781283048839812,5.725283048839812,6.157283048839813,0.0314110447555119,1191.4954971961365,197.5866449951055,3.0,0.0285098587385349,0.1572870352530284,8.984455227617827,-0.1012830488398126,0.1012830488398117,9.205604723987548,8.152407423590748,7.347783525200417,7.102890951160187,6.996222557377804,6.0541845915108965,7.106716951160188,7.68,6.5591689487109095,5.632641524419906,7.68,6.042530514197367,0.2009514831668813,44.00941624431346,14425.179299372006,114857.89192476154,96.39809146996244,77112.31903875901,64.71893449888991
1000,WASP-094,6170,80.0,80.0,0.26,0.15,0.15,1.45,0.09,0.09,1.62,0.05,0.04,4.181,0.013,0.017,0.344,0.011,0.02,0.0,0.13,0.0,0.055,0.001,0.001,0.452,0.035,0.032,1.72,0.06,0.05,3.48,0.25,0.25,0.089,0.008,0.008,1604.0,25.0,22.0,2014A+A...572A..49N,2014A+A...572A..49N,TEP,20,55,7.95,-34,8,7.9,10.06,8.87,0.187,1.4,2456416.40138,0.00026,3.9501907,3.7e-06,2014A+A...572A..49N,0.17,0.0119041324785748,10.503716951160188,9.673716951160188,9.374716951160188,8.683716951160187,10.504716951160187,10.246283048839812,9.017283048839811,9.242283048839813,0.0553530079319205,1609.5532755408606,1644.0287402890474,1.0,-0.6377393841987878,0.1091060606867228,7.3004744209136545,-0.1862830488398117,0.1862830488398117,10.31619372398754,10.36167642359075,9.864854525200418,9.777569951160189,9.762406738724955,8.787994834972254,9.673716951160188,10.06,9.180577474515829,8.943641524419906,10.06,8.515507444872267,1.8537030812726754,28.841648913090193,7680.171286446772,76260.49838548072,47.379915622771044,38369.89476584543,23.838847305599085
982,WASP-076,6329,65.0,65.0,0.366,0.053,0.053,1.458,0.021,0.021,1.765,0.071,0.071,4.196,0.106,0.106,0.268,0.013,0.035,0.0,0.05,0.0,0.033,0.0002,0.0002,0.894,0.019,0.013,1.854,0.077,0.076,6.4,0.5,0.5,0.128,0.015,0.015,2228.0,122.0,122.0,2016A+A...585A.126W,arXiv:2003.05528,TEP,1,46,31.86,2,42,2.0,9.53,8.24,0.1582,1.2,2458080.62617,0.0004,1.80988198,6e-07,arXiv:2003.05528,0.143149689,0.011652012097099,9.927716951160187,9.167716951160187,8.890716951160186,8.258716951160187,9.906716951160186,9.511283048839813,8.383283048839813,8.582283048839813,0.0329578744958402,2233.3724294652043,1241.7080537042852,2.0,0.1278162041822889,0.1079444861820141,4.020431239166046,0.0187169511601865,-0.0187169511601865,9.62663600970183,9.809764423590748,9.352446525200415,9.288135951160188,9.287050458932203,8.307595047887373,9.167716951160187,9.53,8.682556855817268,8.311641524419906,9.53,7.995404813187815,1.408723569569735,33.60569569434984,8240.360389613044,73540.26604879866,32.92790090831755,54663.83145829301,24.475913975253395
328,K2-093f,6320,60.0,30.0,-0.1,0.07,0.07,1.16,0.04,0.04,1.273,0.015,0.015,4.294,0.006,0.006,0.563,0.006,0.006,0.004,0.009,0.003,0.22,0.03,0.06,0.038,0.009,0.009,0.821,0.009,0.009,,,,0.07,0.02,0.02,294.0,3.0,1.0,2016ApJ...827L..10V,arXiv:1911.07355,TEP,8,26,27.85,10,4,49.4,8.93,7.72,0.78775,0.5,2459355.1014,0.0019,542.7975,0.0014,arXiv:2201.02686,1.0527384305886274,0.0043923849377299,9.327716951160188,8.567716951160188,8.290716951160187,7.658716951160187,9.306716951160189,8.991283048839811,7.863283048839812,8.062283048839813,1.3683097003920086,293.94926257504267,,3.0,-83.92176859252172,0.0662750702582049,37.16188079145364,-0.0612830488398117,0.0612830488398126,9.02663600970183,9.209764423590748,8.752446525200417,8.688135951160188,8.687050458932205,7.7075950478873745,8.567716951160188,8.93,8.082556855817268,7.791641524419906,8.93,7.395404813187818,1.0552327432787068,36.9550785158571,52145.18280397351,67301.96597651688,228.9577642989844,2888.742502689499,9.8273507386399
