rowid,toi,toipfx,tid,ctoi_alias,pl_pnum,tfopwg_disp,rastr,ra,raerr1,raerr2,decstr,dec,decerr1,decerr2,st_pmra,st_pmraerr1,st_pmraerr2,st_pmralim,st_pmrasymerr,st_pmdec,st_pmdecerr1,st_pmdecerr2,st_pmdeclim,st_pmdecsymerr,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidlim,pl_tranmidsymerr,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbpersymerr,pl_trandurh,pl_trandurherr1,pl_trandurherr2,pl_trandurhlim,pl_trandurhsymerr,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_trandeplim,pl_trandepsymerr,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radesymerr,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_insolsymerr,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,pl_eqtsymerr,st_tmag,st_tmagerr1,st_tmagerr2,st_tmaglim,st_tmagsymerr,st_dist,st_disterr1,st_disterr2,st_distlim,st_distsymerr,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_teffsymerr,st_logg,st_loggerr1,st_loggerr2,st_logglim,st_loggsymerr,st_rad,st_raderr1,st_raderr2,st_radlim,st_radsymerr,toi_created,rowupdate
1,1000.01,1000,50365310,50365310.01,1,,07h29m25.85s,112.357709,,,-12d41m45.46s,-12.69596,,,-6.334,0.777,0.777,0,1,0.226,0.707,0.707,0,1,2458493.38398,0.00387,0.00387,0,1,2.17153,0.00068,0.00068,0,1,1.937,0.23,0.23,0,1,543.564,1.40612,1.40612,0,1,,,,0,1,4080.56,,,,,2226,,,,,9.5649996,0.018,0.018,0,1,426.74042,,,0,1,,,,0,1,,,,0,1,,,,0,1,2019-03-26 13:55:15,2019-07-31 10:32:40
2,1001.01,1001,88863718,88863718.01,1,,08h10m19.31s,122.580466,,,-05d30m49.86s,-5.513849,,,-5.338,1.017,1.017,0,1,-15.107,1.236,1.236,0,1,2458492.83893,0.00356,0.00356,0,1,1.93217,0.00054,0.00054,0,1,3.447,0.243,0.243,0,1,691.37,0.698388,0.698388,0,1,5.52818,0.256245,0.256245,0,1,6207.63,,,,,2472,,,,,9.427,0.02,0.02,0,1,221.11301,47.2215,47.2215,0,1,7120.3701,75.309998,75.309998,0,1,4.0300002,0.386,0.386,0,1,2.2904999,0.754187,0.754187,0,1,2019-03-26 13:55:20,2019-07-31 10:32:40
3,1002.01,1002,124709665,124709665.01,1,,06h58m54.47s,104.726966,,,-10d34m49.63s,-10.580454,,,-2.366,0.813,0.813,0,1,-1.936,0.888,0.888,0,1,2458492.60156,0.00113,0.00113,0,1,1.86722,0.00016,0.00016,0,1,1.926,0.122,0.122,0,1,6584,708.41,708.41,0,1,,,,0,1,27531.8,,,,,3588,,,,,9.2650003,0.018,0.018,0,1,365.811,,,0,1,8408,225,225,0,1,4.0874801,1.36792,1.36792,0,1,2.1616001,1.46395,1.46395,0,1,2019-03-26 13:55:09,2019-07-31 10:32:40
4,1003.01,1003,106997505,106997505.01,1,,07h22m14.39s,110.559945,,,-25d12m25.26s,-25.207017,,,-0.607,0.515,0.515,0,1,1.721,0.553,0.553,0,1,2458493.3957,0.00535,0.00535,0,1,2.74323,0.00108,0.00108,0,1,3.167,0.642,0.642,0,1,383.41,0.781988,0.781988,0,1,,,,0,1,1177.36,,,,,1631,,,,,9.1789999,0.019,0.019,0,1,179.045,,,0,1,7302,209,209,0,1,4.1452198,1.63976,1.63976,0,1,1.80071,1.46188,1.46188,0,1,2019-03-26 13:55:21,2019-07-31 10:32:40
5,1004.01,1004,238597883,238597883.01,1,,08h08m42.77s,122.178195,,,-48d48m10.12s,-48.802812,,,-4.924,0.663,0.663,0,1,9.311,0.64,0.64,0,1,2458493.51196,0.00653,0.00653,0,1,3.57491,0.00146,0.00146,0,1,2.576,0.346,0.346,0,1,403.708,1.07966,1.07966,0,1,,,,0,1,2117.33,,,,,1889,,,,,9.0970001,0.019,0.019,0,1,343.50781,51.7304,51.7304,0,1,9252,238,238,0,1,4.1251001,0.474341,0.474341,0,1,2.1970799,0.483046,0.483046,0,1,2019-03-26 13:55:18,2019-07-31 10:32:40
6,1005.01,1005,169904935,169904935.01,1,,08h02m49.15s,120.704811,,,-11d06m05.45s,-11.101513,,,-15.7,1.6,1.6,0,1,-34.7,1.5,1.5,0,1,2458492.5552,0.00106,0.00106,0,1,4.55072,0.00033,0.00033,0,1,2.599,0.284,0.284,0,1,2954.34,2.1771,2.1771,0,1,6.54449,0.45717,0.45717,0,1,254.05,,,,,1112,,,,,9.085,0.019,0.019,0,1,119.097,,,0,1,5946,191,191,0,1,4.3144002,2.0037301,2.0037301,0,1,1.20265,1.20265,1.20265,0,1,2019-03-26 13:55:26,2019-07-31 10:32:40
7,1006.01,1006,156115721,156115721.01,1,,08h17m26.22s,124.359238,,,-27d16m24.64s,-27.27351,,,-29.1,2.6,2.6,0,1,-6.8,2.2,2.2,0,1,2458493.67736,0.00254,0.00254,0,1,2.50443,0.0005,0.0005,0,1,3.185,0.615,0.615,0,1,1299.18,2.41997,2.41997,0,1,6.08324,5.90832,5.90832,0,1,6874.38,,,,,2536,,,,,9.026,0.025,0.025,0,1,,,,0,1,6616,200,200,0,1,4.2080402,1.95303,1.95303,0,1,1.53429,1.4887,1.4887,0,1,2019-03-26 13:55:18,2019-07-31 10:32:40
8,1007.01,1007,65212867,65212867.01,1,,07h31m00.57s,112.752393,,,-04d27m48.1s,-4.46336,,,0.057,0.873,0.873,0,1,4.342,0.676,0.676,0,1,2458492.04102,0.00107,0.00107,0,1,6.99823,0.00058,0.00058,0,1,4.314,0.471,0.471,0,1,2733.51,0.759823,0.759823,0,1,16.9838,0.715821,0.715821,0,1,1178.18,,,,,1632,,,,,8.8590002,0.02,0.02,0,1,273.89532,30.5009,30.5009,0,1,7330,210,210,0,1,3.7976,0.403593,0.403593,0,1,2.6956,0.448634,0.448634,0,1,2019-03-26 13:55:21,2019-07-31 10:32:40
9,1008.01,1008,440801822,440801822.01,1,,07h17m31.91s,109.382956,,,+13d23m42.76s,13.39521,,,-17.9,1.1,1.1,0,1,1.3,1,1,0,1,2458492.52135,0.00579,0.00579,0,1,2.04936,0.00105,0.00105,0,1,2.234,0.401,0.401,0,1,249.5,0.564034,0.564034,0,1,1.71607,0.318238,0.318238,0,1,2107.05,,,,,1887,,,,,8.7690001,0.035,0.035,0,1,144.297,,,0,1,6699,201,201,0,1,4.1981802,1.9022599,1.9022599,0,1,1.57195,1.48437,1.48437,0,1,2019-03-26 13:55:18,2019-07-31 10:32:40
10,1009.01,1009,107782586,107782586.01,1,,07h26m40.29s,111.667859,,,-24d27m43.8s,-24.462166,,,-4.1,1.5,1.5,0,1,4,1.5,1.5,0,1,2458492.25285,0.00166,0.00166,0,1,1.96022,0.00026,0.00026,0,1,1.611,0.359,0.359,0,1,1954.46,31.2109,31.2109,0,1,,,,0,1,15070.9,,,,,3086,,,,,8.4440002,0.033,0.033,0,1,,,,0,1,,,,0,1,,,,0,1,,,,0,1,2019-03-26 13:55:17,2019-07-31 10:32:40
