System       , Teff , eup , edn , [Fe/H], eup  , edn  ,    K_A ,  eup ,  edn ,   i    , eup   , edn   ,  r_a    , errup   , errdown ,  r_b     , errup    , errdown  , light_curve_ref     , Overall_reference
CoRoT-01     , 5950 , 150 , 150 , -0.30 , 0.25 , 0.25 ,    188 ,   11 ,   11 , 84.42  , 0.31  , 0.31  , 0.2073  , 0.0020  , 0.0020  , 0.02924  , 0.00041  , 0.00041  , 2011MNRAS.417.2166S , 2011MNRAS.417.2166S
CoRoT-02     , 5598 ,  50 ,  50 , +0.04 , 0.05 , 0.05 ,    603 ,   18 ,   18 , 87.45  , 0.34  , 0.34  , 0.1478  , 0.0023  , 0.0023  , 0.02462  , 0.00035  , 0.00035  , 2011MNRAS.417.2166S , 2012MNRAS.426.1291S
CoRoT-03     , 6740 , 140 , 140 , -0.02 , 0.06 , 0.06 ,   2170 ,   27 ,   27 , 85.80  , 0.77  , 0.77  , 0.1266  , 0.0067  , 0.0067  , 0.00857  , 0.00056  , 0.00056  , 2011MNRAS.417.2166S , 2011MNRAS.417.2166S
CoRoT-04     , 6190 ,  60 ,  60 , +0.05 , 0.07 , 0.07 ,     63 ,    6 ,    6 , 89.96  , 0.04  , 0.79  , 0.0585  , 0.0046  , 0.0015  , 0.00608  , 0.00060  , 0.00020  , 2011MNRAS.417.2166S , 2011MNRAS.417.2166S
CoRoT-05     , 6100 ,  95 ,  95 , -0.25 , 0.06 , 0.06 ,   59.1 ,  6.2 ,  3.1 , 86.24  , 0.53  , 0.53  , 0.0977  , 0.0067  , 0.0067  , 0.01129  , 0.00091  , 0.00091  , 2011MNRAS.417.2166S , 2011MNRAS.417.2166S
CoRoT-06     , 6090 ,  70 ,  70 , -0.20 , 0.10 , 0.10 ,    280 ,   30 ,   30 , 88.88  , 0.25  , 0.25  , 0.0567  , 0.0013  , 0.0013  , 0.00662  , 0.00019  , 0.00019  , 2011MNRAS.417.2166S , 2011MNRAS.417.2166S
CoRoT-07     , 5250 ,  60 ,  60 , +0.12 , 0.06 , 0.06 ,   5.04 , 1.09 , 1.09 , 79.6   , 3.2   , 3.2   , 0.264   , 0.039   , 0.039   , 0.0047   , 0.0012   , 0.0012   , 2011MNRAS.417.2166S , 2011MNRAS.417.2166S
CoRoT-08     , 5080 ,  80 ,  80 , +0.31 , 0.05 , 0.05 ,     26 ,    4 ,    4 , 87.44  , 0.56  , 0.56  , 0.0659  , 0.0056  , 0.0056  , 0.00537  , 0.00060  , 0.00060  , 2011MNRAS.417.2166S , 2011MNRAS.417.2166S
CoRoT-09     , 5625 ,  80 ,  80 , -0.01 , 0.06 , 0.06 ,     38 ,    3 ,    3 , 89.97  , 0.03  , 0.13  , 0.01083 , 0.00072 , 0.00072 , 0.001233 , 0.000089 , 0.000089 , 2011MNRAS.417.2166S , 2011MNRAS.417.2166S
CoRoT-10     , 5075 ,  75 ,  75 , +0.26 , 0.07 , 0.07 ,    301 ,   10 ,   10 , 88.57  , 0.18  , 0.18  , 0.0326  , 0.0023  , 0.0023  , 0.00424  , 0.00038  , 0.00038  , 2011MNRAS.417.2166S , 2011MNRAS.417.2166S
CoRoT-11     , 6440 , 120 , 120 , -0.03 , 0.08 , 0.08 ,    280 ,   40 ,   40 , 83.13  , 0.19  , 0.19  , 0.1452  , 0.0022  , 0.0022  , 0.01549  , 0.00023  , 0.00023  , 2011MNRAS.417.2166S , 2011MNRAS.417.2166S
CoRoT-12     , 5675 ,  80 ,  80 , +0.16 , 0.10 , 0.10 ,  125.5 ,  8.0 ,  7.5 , 85.79  , 0.43  , 0.43  , 0.1235  , 0.0035  , 0.0035  , 0.01638  , 0.00074  , 0.00074  , 2011MNRAS.417.2166S , 2011MNRAS.417.2166S
CoRoT-13     , 5945 ,  90 ,  90 , +0.01 , 0.07 , 0.07 ,  157.8 ,  7.7 ,  7.7 , 85.27  , 0.47  , 0.47  , 0.1161  , 0.0053  , 0.0053  , 0.01173  , 0.00063  , 0.00063  , 2011MNRAS.417.2166S , 2011MNRAS.417.2166S
CoRoT-14     , 6035 , 100 , 100 , +0.05 , 0.15 , 0.15 ,   1230 ,   34 ,   34 , 79.7   , 1.4   , 1.4   , 0.206   , 0.019   , 0.019   , 0.0181   , 0.0013   , 0.0013   , 2011MNRAS.417.2166S , 2011MNRAS.417.2166S
CoRoT-15     , 6350 , 200 , 200 , +0.1  , 0.2  , 0.2  ,   7360 ,  110 ,  110 , 89.9   , 0.1   , 5.0   , 0.138   , 0.034   , 0.009   , 0.0109   , 0.0034   , 0.0008   , 2011MNRAS.417.2166S , 2011MNRAS.417.2166S
CoRoT-17     , 5740 ,  80 ,  80 , +0.0  , 0.1  , 0.1  ,  312.4 , 29.0 , 29.0 , 89.3   , 0.7   , 4.9   , 0.157   , 0.043   , 0.012   , 0.0100   , 0.0034   , 0.0009   , 2012MNRAS.426.1291S , 2012MNRAS.426.1291S
CoRoT-18     , 5440 , 100 , 100 , -0.1  , 0.1  , 0.1  ,    590 ,   14 ,   14 , 86.8   , 1.7   , 1.7   , 0.1502  , 0.0072  , 0.0072  , 0.0209   , 0.0013   , 0.0013   , 2012MNRAS.426.1291S , 2012MNRAS.426.1291S
CoRoT-19     , 6090 ,  70 ,  70 , -0.02 , 0.10 , 0.10 ,    126 ,    6 ,    6 , 89.7   , 0.3   , 3.6   , 0.143   , 0.028   , 0.007   , 0.0111   , 0.0024   , 0.0006   , 2012MNRAS.426.1291S , 2012MNRAS.426.1291S
CoRoT-20     , 5880 ,  90 ,  90 , +0.14 , 0.12 , 0.12 ,    454 ,    9 ,    9 , 83.5   , 3.8   , 3.8   , 0.070   , 0.019   , 0.019   , 0.0062   , 0.0014   , 0.0014   , 2012MNRAS.426.1291S , 2012MNRAS.426.1291S
CoRoT-23     , 5900 , 100 , 100 , +0.05 , 0.1  , 0.1  ,    377 ,   34 ,   34 , 84.7   , 3.4   , 3.0   , 0.168   , 0.022   , 0.014   , 0.0117   , 0.0018   , 0.0011   , 2012MNRAS.426.1291S , 2012MNRAS.426.1291S
GJ_0436      , 3500 , 100 , 100 , -0.03 , 0.2  , 0.2  ,  18.34 , 0.52 , 0.52 , 86.43  , 0.18  , 0.18  , 0.0731  , 0.0027  , 0.0027  , 0.00605  , 0.00023  , 0.00023  , 2008MNRAS.386.1644S , 2010MNRAS.408.1689S
HAT-P-01     , 5975 ,  50 ,  50 , +0.13 , 0.05 , 0.05 ,   59.3 ,  1.4 ,  1.4 , 86.25  , 0.22  , 0.22  , 0.0935  , 0.0025  , 0.0025  , 0.01051  , 0.00031  , 0.00031  , 2010MNRAS.408.1689S , 2010MNRAS.408.1689S
HAT-P-02     , 6290 ,  60 ,  60 , +0.14 , 0.08 , 0.08 ,  983.9 , 17.2 , 17.2 , 85.9   , 1.5   , 1.5   , 0.1162  , 0.0099  , 0.0099  , 0.00847  , 0.00082  , 0.00082  , 2010MNRAS.408.1689S , 2010MNRAS.408.1689S
HAT-P-03     , 5185 ,  50 ,  50 , +0.27 , 0.05 , 0.05 ,   89.1 ,  2.0 ,  2.0 , 86.15  , 0.19  , 0.19  , 0.1053  , 0.0020  , 0.0020  , 0.01178  , 0.00030  , 0.00030  , 2012MNRAS.426.1291S , 2012MNRAS.426.1291S
HAT-P-04     , 5860 ,  80 ,  80 , +0.24 , 0.08 , 0.08 ,   81.1 ,  1.9 ,  1.9 , 89.2   , 0.8   , 1.5   , 0.1666  , 0.0080  , 0.0027  , 0.01431  , 0.00072  , 0.00028  , 2011MNRAS.417.2166S , 2011MNRAS.417.2166S
HAT-P-05     , 5960 , 100 , 100 , +0.24 , 0.15 , 0.15 ,    138 ,   14 ,   14 , 87.18  , 0.62  , 0.62  , 0.1296  , 0.0027  , 0.0027  , 0.01467  , 0.00041  , 0.00041  , 2012MNRAS.422.3099S , 2012MNRAS.422.3099S
HAT-P-06     , 6570 ,  80 ,  80 , -0.13 , 0.08 , 0.08 ,  115.5 ,  4.2 ,  4.2 , 84.88  , 0.51  , 0.51  , 0.1346  , 0.0054  , 0.0054  , 0.01271  , 0.00070  , 0.00070  , 2012MNRAS.426.1291S , 2012MNRAS.426.1291S
HAT-P-07     , 6350 ,  80 ,  80 , +0.26 , 0.08 , 0.08 ,  211.8 ,  2.6 ,  2.6 , 83.40  , 0.12  , 0.12  , 0.23880 , 0.00095 , 0.00095 , 0.018401 , 0.000090 , 0.000090 , 2011MNRAS.417.2166S , 2011MNRAS.417.2166S
HAT-P-09     , 6350 , 150 , 150 , +0.12 , 0.20 , 0.20 ,   84.7 ,  7.9 ,  7.9 , 86.10  , 0.54  , 0.54  , 0.1177  , 0.0060  , 0.0060  , 0.01250  , 0.00089  , 0.00089  , 2012MNRAS.426.1291S , 2012MNRAS.426.1291S
HAT-P-11     , 4780 ,  50 ,  50 , +0.31 , 0.05 , 0.05 ,   11.8 ,  0.9 ,  0.9 , 89.36  , 0.36  , 0.36  , 0.06148 , 0.00082 , 0.00082 , 0.003604 , 0.000071 , 0.000071 , 2011MNRAS.417.2166S , 2011MNRAS.417.2166S
HAT-P-13     , 5653 ,  90 ,  90 , +0.41 , 0.08 , 0.08 , 106.04 , 0.73 , 0.73 , 81.93  , 0.26  , 0.26  , 0.1863  , 0.0034  , 0.0034  , 0.01622  , 0.00034  , 0.00034  , 2012MNRAS.420.2580S , 2012MNRAS.420.2580S
HAT-P-14     , 6600 ,  90 ,  90 , +0.11 , 0.08 , 0.08 ,  218.9 ,  5.8 ,  5.8 , 83.01  , 0.27  , 0.27  , 0.1211  , 0.0036  , 0.0036  , 0.00954  , 0.00045  , 0.00045  , 2012MNRAS.426.1291S , 2012MNRAS.426.1291S
