System       ,  M_A  , errup , errdn , sysup , sysdn ,  R_A  , errup , errdn , sysup , sysdn , loggA , errup , errdn , sysup , sysdn ,  rho_A ,  errup ,  errdn ,   M_b  ,  errup ,  errdn ,  sysup ,  sysdn ,   R_b  ,  errup ,  errdn ,  sysup ,  sysdn ,  g_b  , erru , errd ,  rho_b  , errup  , errdn  , sysup  , sysdn  , Teq  , err , err ,  a(AU)  ,  errup  , errdown ,  sysup  , sysdown ,Safronov,  errup ,  errdn ,  sysup ,   sysdn , age , err , err , sys , sys , Reference
CoRoT-01     ,  0.95 ,  0.11 ,  0.11 ,  0.02 ,  0.02 , 1.131 , 0.045 , 0.045 , 0.007 , 0.007 , 4.311 , 0.019 , 0.019 , 0.003 , 0.003 ,  0.660 ,  0.019 ,  0.019 ,   1.03 ,   0.10 ,   0.10 ,   0.01 ,   0.01 ,  1.551 ,  0.064 ,  0.064 ,  0.010 ,  0.010 , 10.65 , 0.69 , 0.69 ,   0.259 ,  0.021 ,  0.021 ,  0.002 ,  0.002 , 1915 ,  49 ,  49 , 0.02536 , 0.00098 , 0.00016 , 0.00098 , 0.00016 , 0.0354 , 0.0025 , 0.0025 , 0.0002 ,  0.0002 , 7.8 , 4.0 , 3.8 , 0.7 , 0.7 , 2011MNRAS.417.2166S
CoRoT-02     , 0.997 , 0.030 , 0.030 , 0.039 , 0.039 , 0.901 , 0.015 , 0.015 , 0.012 , 0.012 , 4.527 , 0.016 , 0.016 , 0.006 , 0.006 ,  1.362 ,  0.064 ,  0.064 ,   3.57 ,   0.13 ,   0.13 ,   0.09 ,   0.09 ,  1.460 ,  0.025 ,  0.025 ,  0.019 ,  0.019 ,  41.5 ,  1.7 ,  1.7 ,   1.073 ,  0.057 ,  0.057 ,  0.014 ,  0.014 , 1521 ,  18 ,  18 , 0.02835 , 0.00029 , 0.00029 , 0.00037 , 0.00037 , 0.1390 , 0.0048 , 0.0048 , 0.0018 ,  0.0018 , 1.2 , 1.8 , 1.7 , 0.7 , 1.2 , 2012MNRAS.426.1291S
CoRoT-03     , 1.403 , 0.056 , 0.056 , 0.026 , 0.026 , 1.575 , 0.094 , 0.094 , 0.010 , 0.010 , 4.191 , 0.046 , 0.046 , 0.003 , 0.003 ,  0.359 ,  0.058 ,  0.058 ,  21.96 ,   0.65 ,   0.65 ,   0.27 ,   0.27 ,  1.037 ,  0.069 ,  0.069 ,  0.006 ,  0.006 ,   506 ,   67 ,   67 ,    18.4 ,    3.7 ,    3.7 ,    0.1 ,    0.1 , 1695 ,  57 ,  57 , 0.05783 , 0.00078 , 0.00035 , 0.00078 , 0.00035 ,   1.74 ,   0.12 ,   0.12 ,   0.01 ,    0.01 , 1.5 , 0.5 , 0.5 , 0.3 , 0.2 , 2011MNRAS.417.2166S
CoRoT-04     , 1.194 , 0.043 , 0.043 , 0.024 , 0.026 , 1.148 , 0.092 , 0.032 , 0.008 , 0.008 , 4.396 , 0.024 , 0.068 , 0.003 , 0.003 ,  0.790 ,  0.064 ,  0.161 ,  0.731 ,  0.071 ,  0.072 ,  0.009 ,  0.010 ,  1.160 ,  0.115 ,  0.040 ,  0.007 ,  0.008 ,  13.5 ,  1.6 ,  2.6 ,  0.4378 ,  0.062 ,  0.116 ,  0.003 ,  0.002 , 1058 ,  42 ,  17 , 0.09120 , 0.00110 , 0.00112 , 0.00061 , 0.00067 , 0.0962 , 0.0099 , 0.0127 , 0.0007 ,  0.0006 , 0.8 , 2.6 , 1.0 , 0.6 , 0.3 , 2011MNRAS.417.2166S
CoRoT-05     , 1.025 , 0.100 , 0.056 , 0.013 , 0.020 , 1.052 , 0.081 , 0.067 , 0.005 , 0.007 , 4.405 , 0.068 , 0.059 , 0.002 , 0.003 ,   0.88 ,   0.21 ,   0.16 ,  0.469 ,  0.057 ,  0.030 ,  0.004 ,  0.006 ,  1.182 ,  0.102 ,  0.098 ,  0.005 ,  0.007 ,   8.3 ,  1.8 ,  1.3 ,  0.2659 ,  0.081 ,  0.058 ,  0.001 ,  0.001 , 1348 ,  50 ,  51 , 0.05004 , 0.00161 , 0.00092 , 0.00022 , 0.00033 , 0.0388 , 0.0054 , 0.0038 , 0.0003 ,  0.0002 , 3.9 , 2.6 , 5.3 , 0.6 , 1.0 , 2011MNRAS.417.2166S
CoRoT-06     , 1.054 , 0.059 , 0.059 , 0.024 , 0.024 , 1.043 , 0.029 , 0.029 , 0.008 , 0.008 , 4.425 , 0.022 , 0.022 , 0.003 , 0.003 ,  0.929 ,  0.064 ,  0.064 ,   2.96 ,   0.34 ,   0.34 ,   0.05 ,   0.05 ,  1.185 ,  0.041 ,  0.041 ,  0.009 ,  0.009 ,  52.3 ,  6.4 ,  6.4 ,    1.66 ,   0.23 ,   0.23 ,   0.01 ,   0.01 , 1025 ,  16 ,  16 ,  0.0855 ,  0.0016 ,  0.0016 ,  0.0007 ,  0.0007 ,  0.405 ,  0.046 ,  0.046 ,  0.003 ,   0.003 , 2.5 , 2.1 , 1.7 , 0.6 , 0.7 , 2011MNRAS.417.2166S
CoRoT-07     , 0.884 , 0.056 , 0.056 , 0.039 , 0.039 ,  0.96 ,  0.15 ,  0.15 ,  0.01 ,  0.01 ,  4.42 ,  0.14 ,  0.14 ,  0.01 ,  0.01 ,   1.00 ,   0.48 ,   0.48 , 0.0220 , 0.0050 , 0.0050 , 0.0007 , 0.0007 ,  0.166 ,  0.043 ,  0.043 ,  0.002 ,  0.002 ,    19 ,   12 ,   12 ,     4.5 ,    4.5 ,    4.5 ,    0.1 ,    0.1 , 1910 , 140 , 140 , 0.01690 , 0.00036 , 0.00036 , 0.00025 , 0.00025 , 0.0051 , 0.0018 , 0.0018 , 0.0001 ,  0.0001 ,  10 ,  10 ,  10 ,  10 ,  10 , 2011MNRAS.417.2166S
CoRoT-08     , 0.878 , 0.078 , 0.078 , 0.035 , 0.035 , 0.898 , 0.090 , 0.090 , 0.012 , 0.012 , 4.475 , 0.077 , 0.077 , 0.006 , 0.006 ,   1.21 ,   0.32 ,   0.32 ,  0.216 ,  0.036 ,  0.036 ,  0.006 ,  0.006 ,  0.712 ,  0.083 ,  0.083 ,  0.010 ,  0.010 ,  10.6 ,  2.9 ,  2.9 ,    0.56 ,   0.21 ,   0.21 ,   0.01 ,   0.01 ,  922 ,  41 ,  41 ,  0.0633 ,  0.0019 ,  0.0019 ,  0.0008 ,  0.0008 , 0.0437 , 0.0084 , 0.0084 , 0.0006 ,  0.0006 ,  10 ,  10 ,  10 ,  10 ,  10 , 2011MNRAS.417.2166S
CoRoT-09     , 0.960 , 0.068 , 0.068 , 0.040 , 0.040 , 0.938 , 0.059 , 0.059 , 0.013 , 0.013 , 4.476 , 0.063 , 0.063 , 0.006 , 0.006 ,   1.16 ,   0.24 ,   0.24 ,  0.826 ,  0.080 ,  0.080 ,  0.023 ,  0.023 ,  1.037 ,  0.081 ,  0.081 ,  0.014 ,  0.014 ,  19.1 ,  3.2 ,  3.2 ,    0.69 ,   0.17 ,   0.17 ,   0.01 ,   0.01 ,  413 ,  14 ,  14 ,  0.4027 ,  0.0095 ,  0.0095 ,  0.0056 ,  0.0056 ,  0.668 ,  0.076 ,  0.076 ,  0.009 ,   0.009 ,  10 ,  10 ,  10 ,  10 ,  10 , 2011MNRAS.417.2166S
CoRoT-10     , 0.904 , 0.027 , 0.027 , 0.022 , 0.022 , 0.743 , 0.055 , 0.055 , 0.006 , 0.006 , 4.652 , 0.062 , 0.062 , 0.004 , 0.004 ,   2.20 ,   0.47 ,   0.47 ,   2.78 ,   0.14 ,   0.14 ,   0.05 ,   0.05 ,  0.941 ,  0.085 ,  0.085 ,  0.008 ,  0.008 ,    78 ,   14 ,   14 ,    3.13 ,   0.88 ,   0.88 ,   0.03 ,   0.03 ,  647 ,  24 ,  24 ,  0.1060 ,  0.0011 ,  0.0011 ,  0.0009 ,  0.0009 ,  0.693 ,  0.070 ,  0.070 ,  0.006 ,   0.006 , 0.1 , 2.0 , 0.2 , 0.3 , 0.1 , 2011MNRAS.417.2166S
