Planet,Teff,Teff_err_up,Teff_err_dn,[Fe/H],[Fe/H]_err_up,[Fe/H]_err_dn,M*,M*_err_up,M*_err_dn,R*,R*_err_up,R*_err_dn,logg*,logg*_err_up,logg*_err_dn,rho*,rho*_err_up,rho*_err_dn,e,e_err_up,e_err_dn,a (AU),a_err_up,a_err_dn,Mp,Mp_err_up,Mp_err_dn,Rp,Rp_err_up,Rp_err_dn,gp,gp_err_up,gp_err_dn,rhop,rhop_err_up,rhop_err_dn,Teq,Teq_err_up,Teq_err_dn,Discovery_Reference,Recent_Reference,Type,RA:HH,RA:MM,RA:SS,Dec:DD,Dec:MM,Dec:SS,Vmag,Kmag,T14,Depth,T0 (HJD or BJD),T0_err,P (day),P_err,Ephemeris_Reference,Impact Parameter,Depth_Calc,Bmag,Rmag,Imag,Kmag_Calc
55_Cnc_e,5172,18.0,18.0,0.35,0.1,0.1,0.873,0.051,0.035,0.954,0.017,0.018,4.43,0.02,0.02,1.0,0.11,0.07,0.05,0.03,0.03,0.01544,5e-05,5e-05,0.0243,0.0012,0.0009,0.1692,0.0039,0.0041,21.4,2.1,1.9,4.71,0.56,0.53,2349.0,188.0,193.0,2011ApJ...737L..18W,arXiv:1908.06299,TEP,8,52,35.81,28,19,51.0,5.95,4.01,0.066,0.037,2458723.38328,0.00014,0.73654604,1.6e-07,arXiv:2012.02198,0.16,0.00033218105086577055,6.7107169511601885,5.403716951160188,4.980716951160188,3.8297169511601883
pi_Men_c,5998,62.0,62.0,0.09,0.04,0.04,1.091,0.031,0.031,1.19,0.004,0.004,4.365,0.007,0.007,0.7442,0.0009,0.0009,0.066,0.086,0.047,0.06876,0.00065,0.00065,0.0114,0.0012,0.0012,0.1914,0.0013,0.0013,11.0,1.9,9.5,2.1,0.4,0.4,1170.0,2.8,4.3,arXiv:1809.05967,arXiv:2203.01018,TEP,5,37,9.89,-80,28,8.8,5.67,4.24,0.1246,0.03,2458509.8068,0.0003,6.267852,1.6e-05,arXiv:2007.06410,,0.0002731875043612667,6.1357169511601874,5.271716951160188,4.963716951160188,4.243716951160188
AU_Mic_b,3700,100.0,100.0,,,,0.5,0.03,0.03,0.75,0.03,0.03,4.39,0.03,0.03,,,,0.04,0.045,0.025,0.0645,0.0013,0.0013,0.037,0.016,0.016,0.374,0.021,0.02,,,,0.73,0.32,0.32,,,,arXiv:2006.13248,arXiv:2203.01750,TEP,20,45,9.53,-31,20,27.2,8.63,4.53,0.146,0.3,2458330.38416,5e-05,8.4631427,5e-07,arXiv:2202.04308,,0.002625980908174832,10.02371695116019,7.575716951160189,6.4927169511601885,4.478716951160188
AU_Mic_c,3700,100.0,100.0,,,,0.5,0.03,0.03,0.75,0.03,0.03,4.39,0.03,0.03,,,,0.041,0.047,0.026,0.1101,0.002,0.002,0.07,0.021,0.021,0.249,0.027,0.027,,,,2.76,0.97,0.97,,,,arXiv:2012.13238,arXiv:2203.01750,TEP,20,45,9.53,-31,20,27.2,8.63,4.53,0.179,0.2,2459454.8973,0.0005,18.85882,5e-05,arXiv:2202.04308,,0.0011639841165585786,10.02371695116019,7.575716951160189,6.4927169511601885,4.478716951160188
CoRoT-01,5950,150.0,150.0,-0.3,0.25,0.25,0.95,0.11,0.11,1.131,0.045,0.045,4.311,0.019,0.019,0.66,0.019,0.019,0.0,,,0.02536,0.00138,0.00022,1.03,0.1,0.1,1.551,0.064,0.064,10.65,0.69,0.69,0.259,0.021,0.021,1915.0,49.0,49.0,2008A+A...482L..17B,2011MNRAS.417.2166S,TEP,6,48,19.17,-3,6,7.8,13.6,12.15,0.10439,2.3,2454138.303971,3.6e-05,1.50897655,9e-08,2016MNRAS.459..789T,0.420251,0.019859544005395788,14.08770254832227,13.15570254832227,12.82770254832227,12.05170254832227
CoRoT-02,5598,50.0,50.0,0.04,0.05,0.05,0.997,0.049,0.049,0.901,0.019,0.019,4.527,0.017,0.017,1.362,0.064,0.064,0.0143,0.0077,0.0077,0.02835,0.00047,0.00047,3.57,0.15,0.15,1.46,0.031,0.031,41.5,1.7,1.7,1.073,0.058,0.058,1521.0,18.0,18.0,2008A+A...482L..21A,2012MNRAS.426.1291S,TEP,19,27,6.5,1,23,1.4,12.57,10.31,0.09446,3.2,2455628.44758,0.00014,1.74299673,3.1e-07,2015MNRAS.450.3101B,0.221,0.027728540839749488,13.187716951160189,12.095716951160188,11.725716951160189,10.792716951160187
CoRoT-04,6190,60.0,60.0,0.05,0.07,0.07,1.194,0.049,0.05,1.148,0.092,0.032,4.396,0.024,0.068,0.79,0.064,0.161,0.0,,,0.0912,0.00125,0.0013,0.731,0.071,0.072,1.16,0.115,0.04,13.5,1.6,2.6,0.438,0.062,0.116,1058.0,42.0,17.0,2008A+A...488L..43A,2011MNRAS.417.2166S,TEP,6,48,46.72,0,40,22.0,14.0,12.29,0.184,1.3,2454141.36498,0.00098,9.2016281,4e-06,arXiv:2112.10535,0.0,0.010782093385371493,14.406842826406674,13.576842826406674,13.277842826406674,12.586842826406675
CoRoT-05,6100,65.0,65.0,-0.25,0.06,0.06,0.99,0.07,0.07,1.115,0.035,0.033,4.339,0.021,0.02,0.714,0.045,0.043,0.09,0.09,0.04,0.0495,0.0012,0.0012,0.459,0.053,0.032,1.256,0.046,0.045,7.24,0.88,0.48,0.217,0.035,0.028,1397.0,15.0,15.0,2009A+A...506..281R,arXiv:1812.01536,TEP,6,45,6.54,0,48,54.9,14.0,12.55,0.117,1.4,2454400.19896,2e-05,4.0379156,1.2e-06,arXiv:1812.01536,0.755,0.013399865238086244,14.428842826406674,13.564842826406675,13.256842826406675,12.536842826406675
CoRoT-06,6090,70.0,70.0,-0.2,0.1,0.1,1.054,0.063,0.063,1.043,0.03,0.03,4.425,0.022,0.022,0.929,0.064,0.064,0.0,,,0.0855,0.0017,0.0017,2.96,0.34,0.34,1.185,0.041,0.041,52.3,6.4,6.4,1.66,0.23,0.23,1025.0,16.0,16.0,2010A+A...512A..14F,2011MNRAS.417.2166S,TEP,18,44,17.4,6,39,47.4,13.91,12.12,0.17,1.5,2454826.66625,0.00054,8.886621,6.3e-06,arXiv:2005.01684,0.291,0.01363135318824869,14.342144986832363,13.478144986832364,13.170144986832364,12.450144986832363
CoRoT-07,5313,73.0,73.0,0.03,0.07,0.07,0.884,0.029,0.032,0.8389,0.0093,0.0088,4.573,0.011,0.011,1.49,0.12,0.13,0.0,0.32,0.0,0.01702,0.00017,4e-05,0.0145,0.0035,0.0038,0.141,0.009,0.009,21.5,3.5,3.0,4.9,2.1,2.3,1756.0,27.0,27.0,2009A+A...506..287L,arXiv:1908.06299,TEP,6,43,49.47,-1,3,46.9,11.72,9.81,0.04413,0.034,2454398.07756,0.00059,0.85359159,5.7e-07,2014A+A...569A..74B,0.61,0.00029832436383975947,12.410716951160188,11.210716951160189,10.813716951160188,9.772716951160188
