,TOI,Planet,TESS_tid,TOI_alias,No. of Planets,TFOPWG_Des,rastr,RA,decstr,Dec,PMRA,st_pmraerr1,st_pmraerr2,st_pmralim,st_pmrasymerr,PMDec,st_pmdecerr1,st_pmdecerr2,st_pmdeclim,st_pmdecsymerr,T0 (HJD or BJD),T0_err,P (day),P_err,T14_hr,T14,T14_hr_err,T14_err,Depth (ppm),Depth,Depth (ppm)_err,Depth_err,Rp_EarthRadii,Rp,Rp_EarthRadii_err,Rp_err,Mp,Mp_err_up,Mp_err_dn,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_insolsymerr,Teq,pl_eqterr1,pl_eqterr2,pl_eqtlim,pl_eqtsymerr,Tmag,Tmag_err,st_dist,st_disterr1,st_disterr2,st_distlim,st_distsymerr,Teff,Teff_err_up,Teff_err_dn,logg*,logg*_err_up,logg*_err_dn,R*,R*_err_up,R*_err_dn,M*,toi_created,rowupdate
1,1000.01,1000,50365310,50365310.01,1,,07h29m25.85s,112.357709,-12d41m45.46s,-12.69596,-6.334,0.777,0.777,0,1,0.226,0.707,0.707,0,1,2458493.38398,0.00387,2.17153,0.00068,1.937,0.080708333333333,0.23,0.009583333333333,543.564,0.0543564,1.40612,0.000140612,,0,,0,,,,4080.56,,,,,2226,,,,,9.5649996,0.018,426.74042,,,0,1,,,,,,,,,,0,2019-03-26 13:55:15,2019-07-31 10:32:40
2,1001.01,1001,88863718,88863718.01,1,,08h10m19.31s,122.580466,-05d30m49.86s,-5.513849,-5.338,1.017,1.017,0,1,-15.107,1.236,1.236,0,1,2458492.83893,0.00356,1.93217,0.00054,3.447,0.143625,0.243,0.010125,691.37,0.069137,0.698388,6.98388E-05,5.52818,0.493191185654385,0.256245,0.022860647693818,,,,6207.63,,,,,2472,,,,,9.427,0.02,221.11301,47.2215,47.2215,0,1,7120.3701,75.309998,75.309998,4.0300002,0.386,0.386,2.2904999,0.754187,0.754187,6.91571859677277,2019-03-26 13:55:20,2019-07-31 10:32:40
3,1002.01,1002,124709665,124709665.01,1,,06h58m54.47s,104.726966,-10d34m49.63s,-10.580454,-2.366,0.813,0.813,0,1,-1.936,0.888,0.888,0,1,2458492.60156,0.00113,1.86722,0.00016,1.926,0.08025,0.122,0.005083333333333,6584,0.6584,708.41,0.070841,,0,,0,,,,27531.8,,,,,3588,,,,,9.2650003,0.018,365.811,,,0,1,8408,225,225,4.0874801,1.36792,1.36792,2.1616001,1.46395,1.46395,6.04146811092275,2019-03-26 13:55:09,2019-07-31 10:32:40
4,1003.01,1003,106997505,106997505.01,1,,07h22m14.39s,110.559945,-25d12m25.26s,-25.207017,-0.607,0.515,0.515,0,1,1.721,0.553,0.553,0,1,2458493.3957,0.00535,2.74323,0.00108,3.167,0.131958333333333,0.642,0.02675,383.41,0.038341,0.781988,7.81988E-05,,0,,0,,,,1177.36,,,,,1631,,,,,9.1789999,0.019,179.045,,,0,1,7302,209,209,4.1452198,1.63976,1.63976,1.80071,1.46188,1.46188,3.94489527232202,2019-03-26 13:55:21,2019-07-31 10:32:40
5,1004.01,1004,238597883,238597883.01,1,,08h08m42.77s,122.178195,-48d48m10.12s,-48.802812,-4.924,0.663,0.663,0,1,9.311,0.64,0.64,0,1,2458493.51196,0.00653,3.57491,0.00146,2.576,0.107333333333333,0.346,0.014416666666667,403.708,0.0403708,1.07966,0.000107966,,0,,0,,,,2117.33,,,,,1889,,,,,9.0970001,0.019,343.50781,51.7304,51.7304,0,1,9252,238,238,4.1251001,0.474341,0.474341,2.1970799,0.483046,0.483046,6.27538418515327,2019-03-26 13:55:18,2019-07-31 10:32:40
6,1005.01,1005,169904935,169904935.01,1,,08h02m49.15s,120.704811,-11d06m05.45s,-11.101513,-15.7,1.6,1.6,0,1,-34.7,1.5,1.5,0,1,2458492.5552,0.00106,4.55072,0.00033,2.599,0.108291666666667,0.284,0.011833333333333,2954.34,0.295434,2.1771,0.00021771,6.54449,0.58386029083772,0.45717,0.040785975555357,,,,254.05,,,,,1112,,,,,9.085,0.019,119.097,,,0,1,5946,191,191,4.3144002,2.0037301,2.0037301,1.20265,1.20265,1.20265,1.53812487741773,2019-03-26 13:55:26,2019-07-31 10:32:40
7,1006.01,1006,156115721,156115721.01,1,,08h17m26.22s,124.359238,-27d16m24.64s,-27.27351,-29.1,2.6,2.6,0,1,-6.8,2.2,2.2,0,1,2458493.67736,0.00254,2.50443,0.0005,3.185,0.132708333333333,0.615,0.025625,1299.18,0.129918,2.41997,0.000241997,6.08324,0.542710322062628,5.90832,0.527105004906771,,,,6874.38,,,,,2536,,,,,9.026,0.025,,,,0,1,6616,200,200,4.2080402,1.95303,1.95303,1.53429,1.4887,1.4887,2.71508893858094,2019-03-26 13:55:18,2019-07-31 10:32:40
8,1007.01,1007,65212867,65212867.01,1,,07h31m00.57s,112.752393,-04d27m48.1s,-4.46336,0.057,0.873,0.873,0,1,4.342,0.676,0.676,0,1,2458492.04102,0.00107,6.99823,0.00058,4.314,0.17975,0.471,0.019625,2733.51,0.273351,0.759823,7.59823E-05,16.9838,1.51519314836292,0.715821,0.063861272191989,,,,1178.18,,,,,1632,,,,,8.8590002,0.02,273.89532,30.5009,30.5009,0,1,7330,210,210,3.7976,0.403593,0.403593,2.6956,0.448634,0.448634,10.1125972539835,2019-03-26 13:55:21,2019-07-31 10:32:40
9,1008.01,1008,440801822,440801822.01,1,,07h17m31.91s,109.382956,+13d23m42.76s,13.39521,-17.9,1.1,1.1,0,1,1.3,1,1,0,1,2458492.52135,0.00579,2.04936,0.00105,2.234,0.093083333333333,0.401,0.016708333333333,249.5,0.02495,0.564034,5.64034E-05,1.71607,0.153097510928718,0.318238,0.028391292711214,,,,2107.05,,,,,1887,,,,,8.7690001,0.035,144.297,,,0,1,6699,201,201,4.1981802,1.9022599,1.9022599,1.57195,1.48437,1.48437,2.87314161194221,2019-03-26 13:55:18,2019-07-31 10:32:40
10,1009.01,1009,107782586,107782586.01,1,,07h26m40.29s,111.667859,-24d27m43.8s,-24.462166,-4.1,1.5,1.5,0,1,4,1.5,1.5,0,1,2458492.25285,0.00166,1.96022,0.00026,1.611,0.067125,0.359,0.014958333333333,1954.46,0.195446,31.2109,0.00312109,,0,,0,,,,15070.9,,,,,3086,,,,,8.4440002,0.033,,,,0,1,,,,,,,,,,0,2019-03-26 13:55:17,2019-07-31 10:32:40
11,101.01,101,231663901,231663901.01,1,CP,21h14m56.88s,318.736981,-55d52m18.41s,-55.87178,,,,,,,,,,,2458326.008874,0.000339,1.430401,3.2E-05,1.638765,0.068281875,0.026081,0.001086708333333,20452.53168,2.045253168,242.95233,0.024295233,13.145008,1.17271906503702,0.144216,0.012866089749309,,,,1193.379561,,,,,1499.044062,,,,,12.352,0.034,464.73199,,,0,1,5783,188,188,4.3443699,,,1.1348701,1.1348701,1.1348701,1.34340726501868,2018-09-05 18:34:18,2019-03-11 18:32:33
12,1010.01,1010,139853601,139853601.01,1,,07h29m10.56s,112.293982,-21d49m58.48s,-21.832912,-5.969,0.391,0.391,0,1,4.533,0.374,0.374,0,1,2458492.25806,0.00118,0.68088,6E-05,1.458,0.06075,0.036,0.0015,3326.45,0.332645,157.194,0.0157194,,0,,0,,,,182419,,,,,5757,,,,,8.4379997,0.018,360.98001,,,0,1,,,,,,,,,,0,2019-03-26 13:55:18,2019-07-31 10:32:40
