Unnamed: 0,TOI,Planet,TESS_tid,TOI_alias,No. of Planets,TFOPWG_Des,rastr,RA,decstr,Dec,PMRA,st_pmraerr1,st_pmraerr2,st_pmralim,st_pmrasymerr,PMDec,st_pmdecerr1,st_pmdecerr2,st_pmdeclim,st_pmdecsymerr,T0 (HJD or BJD),T0_err,P (day),P_err,T14_hr,T14,T14_hr_err,T14_err,Depth (ppm),Depth,Depth (ppm)_err,Depth_err,Rp_EarthRadii,Rp,Rp_EarthRadii_err,Rp_err,Mp,Mp_err_up,Mp_err_dn,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_insolsymerr,Teq,pl_eqterr1,pl_eqterr2,pl_eqtlim,pl_eqtsymerr,Tmag,Tmag_err,st_dist,st_disterr1,st_disterr2,st_distlim,st_distsymerr,Teff,Teff_err_up,Teff_err_dn,logg*,logg*_err_up,logg*_err_dn,R*,R*_err_up,R*_err_dn,M*,toi_created,rowupdate,a_calc,Teq_Calc,R*/Rp,a_calc/R*,Impact Parameter
2,1001.01,1001,88863718,88863718.01,1,,08h10m19.31s,122.580466,-05d30m49.86s,-5.513849,-5.338,1.017,1.017,0.0,1.0,-15.107,1.236,1.236,0.0,1.0,2458492.83893,0.00356,1.93217,0.00054,3.447,0.143625,0.243,0.010125,691.37,0.069137,0.698388,6.98388e-05,5.52818,0.493191185654,0.256245,0.0228606476938,,,,6207.63,,,,,2472.0,,,,,9.427,0.02,221.11301,47.2215,47.2215,0,1,7120.3701,75.309998,75.309998,4.0300002,0.386,0.386,2.2904999,0.754187,0.754187,6.91571859677,2019-03-26 13:55:20,2019-07-31 10:32:40,0.0578427827045,2160.31200228,45.1813968846,5.43178014137,0.5
6,1005.01,1005,169904935,169904935.01,1,,08h02m49.15s,120.704811,-11d06m05.45s,-11.101513,-15.7,1.6,1.6,0.0,1.0,-34.7,1.5,1.5,0.0,1.0,2458492.5552,0.00106,4.55072,0.00033,2.599,0.108291666667,0.284,0.0118333333333,2954.34,0.295434,2.1771,0.00021771,6.54449,0.583860290838,0.45717,0.0407859755554,,,,254.05,,,,,1112.0,,,,,9.085,0.019,119.097,,,0,1,5946.0,191.0,191.0,4.3144002,2.0037301,2.0037301,1.20265,1.20265,1.20265,1.53812487742,2019-03-26 13:55:26,2019-07-31 10:32:40,0.0620379053092,1262.2324207,20.0389517431,11.0953537231,0.646429192255
7,1006.01,1006,156115721,156115721.01,1,,08h17m26.22s,124.359238,-27d16m24.64s,-27.27351,-29.1,2.6,2.6,0.0,1.0,-6.8,2.2,2.2,0.0,1.0,2458493.67736,0.00254,2.50443,0.0005,3.185,0.132708333333,0.615,0.025625,1299.18,0.129918,2.41997,0.000241997,6.08324,0.542710322063,5.90832,0.527105004907,,,,6874.38,,,,,2536.0,,,,,9.026,0.025,,,,0,1,6616.0,200.0,200.0,4.2080402,1.95303,1.95303,1.53429,1.4887,1.4887,2.71508893858,2019-03-26 13:55:18,2019-07-31 10:32:40,0.050350888127,1760.83643954,27.5032524906,7.05867137366,0.5
8,1007.01,1007,65212867,65212867.01,1,,07h31m00.57s,112.752393,-04d27m48.1s,-4.46336,0.057,0.873,0.873,0.0,1.0,4.342,0.676,0.676,0.0,1.0,2458492.04102,0.00107,6.99823,0.00058,4.314,0.17975,0.471,0.019625,2733.51,0.273351,0.759823,7.59823e-05,16.9838,1.51519314836,0.715821,0.063861272192,,,,1178.18,,,,,1632.0,,,,,8.8590002,0.02,273.89532,30.5009,30.5009,0,1,7330.0,210.0,210.0,3.7976,0.403593,0.403593,2.6956,0.448634,0.448634,10.112597254,2019-03-26 13:55:21,2019-07-31 10:32:40,0.15484109307,1474.55829065,17.3074120349,12.35532185,0.357661248705
9,1008.01,1008,440801822,440801822.01,1,,07h17m31.91s,109.382956,+13d23m42.76s,13.39521,-17.9,1.1,1.1,0.0,1.0,1.3,1.0,1.0,0.0,1.0,2458492.52135,0.00579,2.04936,0.00105,2.234,0.0930833333333,0.401,0.0167083333333,249.5,0.02495,0.564034,5.64034e-05,1.71607,0.153097510929,0.318238,0.0283912927112,,,,2107.05,,,,,1887.0,,,,,8.7690001,0.035,144.297,,,0,1,6699.0,201.0,201.0,4.1981802,1.9022599,1.9022599,1.57195,1.48437,1.48437,2.87314161194,2019-03-26 13:55:18,2019-07-31 10:32:40,0.044888769212,1911.321979,99.8884516262,6.14217593387,0.512318525762
11,101.01,101,231663901,231663901.01,1,CP,21h14m56.88s,318.736981,-55d52m18.41s,-55.87178,,,,,,,,,,,2458326.00887,0.000339,1.430401,3.2e-05,1.638765,0.068281875,0.026081,0.00108670833333,20452.53168,2.045253168,242.95233,0.024295233,13.145008,1.17271906504,0.144216,0.0128660897493,,,,1193.379561,,,,,1499.044062,,,,,12.352,0.034,464.73199,,,0,1,5783.0,188.0,188.0,4.3443699,,,1.1348701,1.1348701,1.1348701,1.34340726502,2018-09-05 18:34:18,2019-03-11 18:32:33,0.0274145392488,1793.94512691,9.41449114883,5.19586764223,0.797037357667
13,1011.01,1011,114018671,114018671.01,1,,07h35m56.34s,113.984737,-32d50m31.13s,-32.84198,145.243,0.095,0.095,0.0,1.0,-134.677,0.098,0.098,0.0,1.0,2458492.44438,0.0073,2.46992,0.00137,2.151,0.089625,0.387,0.016125,167.378,0.0167378,0.816388,8.16388e-05,1.3397,0.119520028548,0.096679,0.00862512266928,,,,509.063,,,,,1323.0,,,,,8.2159996,0.018,51.918385,1.0080301,1.0080301,0,1,5413.6802,33.159401,33.159401,4.3699999,0.11,0.11,1.1788599,0.104706,0.104706,1.4680644487,2019-03-26 13:55:13,2019-07-31 10:32:40,0.0406421631946,1405.75179962,95.9546862882,7.41545668787,0.559901706416
17,1015.01,1015,155044736,155044736.01,1,,08h11m35.03s,122.895964,-27d58m18.82s,-27.971894,2.368,0.785,0.785,0.0,1.0,-18.271,1.004,1.004,0.0,1.0,2458493.08067,0.00523,1.37259,0.00036,1.794,0.07475,0.294,0.01225,587.728,0.0587728,2.02629,0.000202629,16.7675,1.49589615488,1.4239,0.127031849407,,,,767.232,,,,,1466.0,,,,,10.625,0.018,884.90295,202.84801,202.84801,0,1,4796.0,176.0,176.0,,,,0.799774,0.799774,0.799774,0.593731818135,2019-04-01 16:51:56,2019-07-31 10:32:40,0.0203156401575,1450.84467578,5.2012834129,5.4636958156,0.756820325321
18,1016.01,1016,175310067,175310067.01,1,,07h44m26.59s,116.110773,-36d05m53.83s,-36.098287,-8.654,1.12,1.12,0.0,1.0,12.232,1.12,1.12,0.0,1.0,2458502.26383,0.00249,12.70907,0.00065,7.046,0.293583333333,0.357,0.014875,13320.0,1.332,507.85,0.050785,18.7058,1.66881969846,3.88693,0.346768668035,,,,2562.29,,,,,1982.0,,,,,10.594,0.019,418.27899,,,0,1,7295.0,209.0,209.0,4.14573,1.64219,1.64219,1.79822,1.46202,1.46202,3.93217877942,2019-04-01 16:52:03,2019-07-31 10:32:40,0.168226128295,1149.93513662,10.4828190503,20.1221280535,0.5
19,1017.01,1017,182943944,182943944.01,1,,08h18m54.34s,124.726413,-37d46m59.7s,-37.783251,-12.532,0.979,0.979,0.0,1.0,7.953,0.787,0.787,0.0,1.0,2458518.96536,0.00137,1.10422,0.00013,2.37,0.09875,0.062,0.00258333333333,14177.7,1.41777,843.788,0.0843788,21.0448,1.87749130163,5.22012,0.465707913284,,,,39459.3,,,,,3926.0,,,,,10.591,0.019,421.23862,,,0,1,6810.0,203.0,203.0,4.0728102,0.552641,0.552641,1.84486,0.461893,0.461893,4.1742773451,2019-04-01 16:52:01,2019-07-31 10:32:40,0.0336643853809,2430.61870288,9.55938964774,3.92491772565,0.19706104796
