Planet,Teff,Teff_err_up,Teff_err_dn,[Fe/H],[Fe/H]_err_up,[Fe/H]_err_dn,M*,M*_err_up,M*_err_dn,R*,R*_err_up,R*_err_dn,logg*,logg*_err_up,logg*_err_dn,rho*,rho*_err_up,rho*_err_dn,e,e_err_up,e_err_dn,a (AU),a_err_up,a_err_dn,Mp,Mp_err_up,Mp_err_dn,Rp,Rp_err_up,Rp_err_dn,gp,gp_err_up,gp_err_dn,rhop,rhop_err_up,rhop_err_dn,Teq,Teq_err_up,Teq_err_dn,Discovery_Reference,Recent_Reference,Type,RA:HH,RA:MM,RA:SS,Dec:DD,Dec:MM,Dec:SS,Vmag,Kmag,T14,Depth,T0 (HJD or BJD),T0_err,P (day),P_err,Ephemeris_Reference,Impact Parameter,Depth_Calc,Bmag,Rmag,Imag,Kmag_Calc,Umag,Vmag_Calc,Hmag,Jmag,a_Calc,Teq_Calc,ScaleHeight_Prox,Previous Study Flag,a-a_Calc % Error,Rp/R*,a_Calc/R*,V-Vcalc,K-Kcalc,umag,gmag,rmag,imag,zmag,RISEmag,SPRAT_Redmag,SPRAT_Bluemag,600RI+19mag,HKmag,G750Mmag,GR01mag,Exposure Time for Half_Well,SNR (Half_Well),Cadence (Half_Well),Rank,Habitable_Rank,Multi_Transit_Rank,Multi_Transit_Habitable_Rank
TOI-1420,5493,50.0,50.0,0.29,0.08,0.08,0.987,0.048,0.048,0.923,0.024,0.024,4.502,0.029,0.029,1.25,0.11,0.11,0.0,0.17,0.0,0.071,0.0012,0.0012,0.079,0.012,0.012,1.061,0.029,0.029,,,,0.062,0.011,0.011,957.0,17.0,17.0,2023AJ....166..181Y,2023AJ....166..181Y,TEP,21,31,45.92,66,20,55.9,11.65,10.12,0.1405,1.5,2459517.43305,0.00012,6.9561063,1.7e-06,2023AJ....166..181Y,0.412,0.0139539850201717,12.300716951160188,11.159716951160188,10.777716951160189,9.795716951160188,12.584716951160187,11.974283048839812,10.288283048839812,10.630283048839813,0.071005126889315,954.990152721476,,1.0,-0.00722044947967,0.1181269868411606,16.540935051580586,-0.3242830488398116,0.3242830488398116,12.641420009701834,12.046628423590748,11.378622525200418,11.201070951160188,11.132796339761226,10.177261368672069,11.159716951160188,11.65,10.635538633977657,10.204141524419908,11.65,10.059887108213552,2.5426371729634796,948.2387327022017,4774.255693686564,7680410.595488676,8042.397687140004,2912066.799941086,3049.3160496393043
WASP-107,4425,70.0,70.0,0.02,0.09,0.09,0.683,0.017,0.016,0.67,0.02,0.02,4.633,0.012,0.012,2.441,0.023,0.023,0.06,0.04,0.004,0.0553,0.0013,0.0013,0.096,0.005,0.005,0.924,0.022,0.022,3.09,0.38,0.34,0.101,0.011,0.01,736.0,17.0,17.0,2017A+A...604A.110A,arXiv:2011.13444,TEP,12,33,32.84,-10,8,46.1,11.59,8.64,0.11411,2.2,2457584.329746,1.1e-05,5.72149242,4.6e-07,2017MNRAS.469.1622M,0.09,0.0200846941977851,12.637716951160188,10.832716951160188,10.257716951160187,8.668716951160187,13.693716951160187,11.561283048839814,8.856283048839813,9.416283048839814,0.0551340170350805,743.8307979747185,849.9782576089054,3.0,0.3010536395594262,0.1417204791051212,17.748176430718335,0.0287169511601863,-0.0287169511601863,13.700785295416118,12.230399423590748,11.122911525200418,10.728741951160188,10.536967339761222,9.624399932545028,10.832716951160188,11.59,10.23052656546669,8.748141524419907,11.59,9.808080897829877,2.009397412245397,948.3106201821008,4906.49780870523,6784277.471164376,9120.726769631501,2836278.928161222,3813.0700367392183
WASP-193,6080,130.0,130.0,-0.108,0.055,0.056,1.018,0.064,0.062,1.213,0.05,0.042,4.28,0.042,0.050,0.57,0.08,0.08,0.081,0.076,0.055,0.0668,0.0014,0.0014,0.112,0.029,0.034,1.319,0.058,0.046,1.58,0.46,0.49,0.045,0.014,0.014,1250.0,21.0,22.0,2024NatAs...8..909B,2025AJ....169..225Y,TEP,10,57,23.85,-29,59,49.7,12.19,10.75,0.17733,1.3,2457781.66567,0.00056,6.2463345,3e-07,2024NatAs...8..909B,0.31,0.0124864469404507,12.655716951160189,11.791716951160188,11.483716951160188,10.763716951160188,12.669716951160186,12.176283048839812,10.899283048839813,11.136283048839813,0.0667737758079708,1249.5807039457643,2823.198455570993,2.0,0.0392731902784375,0.1117427713118424,11.841836767347552,0.0137169511601875,-0.0137169511601875,12.520258295416111,12.502632423590748,11.986058525200418,11.888792951160188,11.867870671367443,10.895517198465711,11.791716951160188,12.19,11.295283433614252,10.824641524419906,12.19,10.640540272016183,4.446554371139267,947.9820160471396,3445.6594300171514,6012649.358878887,4811.73351980622,2405765.313637985,1925.2580533945268
WASP-017,6550,100.0,100.0,-0.25,0.09,0.09,1.286,0.079,0.079,1.583,0.041,0.041,4.149,0.014,0.014,0.324,0.012,0.012,0.0,,,0.05135,0.00103,0.00103,0.477,0.033,0.033,1.932,0.053,0.053,3.16,0.2,0.2,0.0618,0.0048,0.0048,1755.0,28.0,28.0,2010ApJ...709..159A,2012MNRAS.426.1338S,TEP,15,59,50.95,-28,3,42.3,11.5,10.22,0.183,1.8,2454592.80154,0.0005,3.73548546,2.7e-07,2022MNRAS.512.4185A,0.4,0.0157298036356436,11.851716951160189,11.161716951160187,10.907716951160188,10.334716951160187,11.822716951160189,11.385283048839812,10.360283048839811,10.533283048839811,0.0512371392225482,1755.58806039847,1981.8853158108373,3.0,0.2202714264775258,0.1254185139269464,6.975300817234758,0.1147169511601866,-0.1147169511601866,11.437078295416114,11.75785242359075,11.340038525200418,11.299454951160188,11.313087075512518,10.328341037804927,11.161716951160187,11.5,10.684789082550934,10.290141524419909,11.5,9.975011632453484,2.4539276093364406,948.2506922538976,6443.2218537512035,5442573.20637733,3100.1425272521037,2815987.7042229483,1604.0139300012088
WASP-039,5485,50.0,50.0,0.01,0.09,0.09,0.913,0.046,0.046,0.939,0.022,0.022,4.453,0.018,0.018,1.103,0.057,0.057,0.0,,,0.04828,0.00081,0.00081,0.281,0.032,0.032,1.279,0.04,0.04,4.26,0.5,0.5,0.126,0.017,0.017,1166.0,14.0,14.0,2011A+A...531A..40F,2018A+A...613A..41M,TEP,14,29,18.42,-3,26,40.1,12.1,10.2,0.1168,2.5,2455342.9696,0.00014,4.05528047,7e-07,2016ApJ...827...19F,0.441,0.0195920910808826,12.750716951160188,11.609716951160188,11.227716951160188,10.245716951160189,13.034716951160188,12.054283048839812,10.368283048839812,10.710283048839813,0.0482811241627232,1166.4175329696204,976.7365353482312,3.0,-0.0023283689905305,0.1399717510102756,11.05617942041964,0.0457169511601875,-0.0457169511601875,13.091420009701832,12.496628423590748,11.828622525200418,11.651070951160188,11.582796339761224,10.627261368672068,11.609716951160188,12.1,11.085538633977652,10.284141524419905,12.1,10.509887108213553,3.8470096943511622,948.0628637754163,2623.2114815873992,4153519.530559165,3560.9200077647874,2062556.285225704,1768.2829920899549
WASP-021,5924,55.0,55.0,-0.22,0.04,0.04,0.89,0.079,0.079,1.136,0.051,0.051,4.277,0.026,0.026,0.607,0.048,0.048,0.0,,,0.0499,0.0015,0.0015,0.276,0.019,0.019,1.162,0.054,0.054,5.07,0.35,0.35,0.165,0.018,0.018,1333.0,28.0,28.0,2010A+A...519A..98B,2013A+A...557A..30C,TEP,23,9,58.23,18,23,46.0,11.59,9.98,0.1426,1.4,2454743.04217,0.00065,4.3225126,2.2e-06,2015MNRAS.451.4060S,0.23,0.0110490892089883,12.099716951160188,11.167716951160187,10.839716951160188,10.063716951160188,12.157716951160188,11.506283048839812,10.133283048839813,10.395283048839811,0.049952899036384,1362.2510912923974,938.2329302116436,3.0,-0.1058978305653212,0.1051146479278141,9.44551458447212,0.0837169511601878,-0.0837169511601878,12.068387438273255,11.92454442359075,11.368466525200418,11.249732951160189,11.2160127439063,10.248223527140912,11.167716951160187,11.59,10.663901239623248,10.056641524419906,11.59,10.029979498756592,2.5189811254704857,948.2419219528265,4891.120411908128,3229339.227691414,2370.5903033101404,1553264.9207454547,1140.219252290588
TOI-2641,6100,100.0,100.0,-0.15,0.08,0.08,1.16,0.07,0.07,1.336,0.055,0.05,4.2,0.1,0.1,0.482,0.059,0.06,0.0,0.18,0.0,0.0607,0.0042,0.0043,0.367,0.049,0.04,1.62,0.46,0.64,,,,0.082,0.071,0.097,1387.0,22.0,23.0,2023A+A...675A..39P,2023A+A...675A..39P,TEP,11,24,31.34,-42,43,55.6,11.69,10.33,0.0699,1.5,2459332.21332,0.00066,4.880974,3e-06,2023A+A...675A..39P,1.043,0.015527015962383,12.155716951160189,11.291716951160188,10.983716951160188,10.263716951160188,12.169716951160186,11.756283048839812,10.479283048839813,10.716283048839813,0.05916935605569,1397.712793904226,,1.0,2.586886264013665,0.124607447459544,9.76979928832503,-0.0662830488398125,0.0662830488398125,12.020258295416111,12.002632423590748,11.486058525200418,11.388792951160188,11.367870671367443,10.395517198465711,11.291716951160188,11.69,10.795283433614252,10.404641524419906,11.69,10.140540272016183,2.806894934061395,948.2031053861728,2151.6159820280263,2996498.4733717064,2143.8585140238993,1356315.7771188656,970.3823153326613
TrES-4,6295,65.0,65.0,0.28,0.09,0.09,1.45,0.05,0.05,1.81,0.08,0.08,4.09,0.03,0.03,0.246,0.03,0.022,0.0,0.016,0.0,0.0516,0.0005,0.0005,0.494,0.035,0.035,1.838,0.081,0.09,2.82,0.34,0.31,0.075,0.012,0.01,1795.0,35.0,39.0,2007ApJ...667L.195M,2015A+A...575L..15S,TEP,17,53,13.06,37,12,42.4,11.59,10.33,0.1524,1.1,2454230.9056,0.0003,3.55392771,4.7e-07,2015A+A...575L..15S,0.755,0.0108894200591912,11.987716951160188,11.227716951160188,10.950716951160189,10.318716951160187,11.966716951160189,11.601283048839813,10.473283048839813,10.672283048839812,0.0515863631101693,1798.0462736018865,2271.453373005644,2.0,0.0264350673482493,0.1043523840608886,6.130198471049867,-0.0112830488398127,0.0112830488398127,11.68663600970183,11.869764423590748,11.412446525200416,11.348135951160188,11.347050458932204,10.367595047887374,11.227716951160188,11.59,10.742556855817268,10.401641524419906,11.59,10.055404813187817,2.623034865674438,948.2278936011846,5019.895149817001,2935579.535995122,1632.6496036803899,1557182.6519537019,866.0414778059736
WASP-052,5000,100.0,100.0,0.03,0.12,0.12,0.804,0.05,0.05,0.786,0.016,0.016,4.553,0.01,0.010,1.653,0.02,0.02,0.0,,,0.02643,0.00055,0.00055,0.434,0.024,0.024,1.253,0.027,0.027,6.85,0.26,0.26,0.206,0.009,0.009,1315.0,26.0,26.0,2013A+A...549A.134H,2017MNRAS.465..843M,TEP,23,13,58.76,8,45,40.6,12.2,10.09,0.0754,2.7,2457669.44736,0.00021,1.74978145,4.2e-07,2022MNRAS.509.5102S,0.6,0.0268366274065079,13.006716951160188,11.626716951160189,11.184716951160189,9.958716951160188,13.606716951160188,12.331283048839811,10.275283048839812,10.707283048839813,0.0264249640572437,1314.9443475502703,685.0521963375012,3.0,0.019057519795863,0.1638188859884839,7.230661417776812,-0.131283048839812,0.131283048839812,13.725604723987548,12.672407423590748,11.867783525200418,11.622890951160189,11.516222557377803,10.574184591510898,11.626716951160189,12.2,11.079168948710908,10.182641524419909,12.2,10.562530514197366,3.9881386224541706,948.0438333650355,1633.4838421416634,2841680.7169949682,2161.0653882721303,2148242.8559291125,1633.7138981822843
HAT-P-48,5946,50.0,50.0,0.02,0.08,0.08,1.099,0.041,0.041,1.223,0.046,0.046,4.3,0.03,0.03,,,,0.0,0.378,0.0,0.0543,0.0007,0.0007,0.168,0.024,0.024,1.131,0.054,0.054,3.24,0.57,0.48,0.106,0.023,0.015,1361.0,25.0,25.0,arXiv:1606.04556,arXiv:1606.04556,TEP,2,57,53.03,30,37,32.5,12.16,10.26,0.1411,1.0,2455839.21023,0.00029,4.40865,8e-06,arXiv:1606.04556,0.281,0.0090311526375483,12.669716951160188,11.737716951160188,11.409716951160188,10.633716951160189,12.727716951160188,11.786283048839811,10.413283048839812,10.675283048839812,0.0543012085608763,1360.7134681720115,1498.9998752816675,1.0,-0.0022256611009888,0.0950323767857476,9.547216723557428,0.3737169511601887,-0.3737169511601887,12.638387438273256,12.49454442359075,11.938466525200418,11.819732951160187,11.7860127439063,10.818223527140912,11.737716951160188,12.16,11.233901239623249,10.336641524419909,12.16,10.599979498756593,4.256085470612808,948.0077012488167,2864.3785666843496,2828824.4767545965,2078.92737370701,1347265.5045369912,990.1169761675937
